"GREENOCK, PROSPECT HILL",,,,,,,,,,,
,,,,,,,,,,,
Station no,5316,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,9.64,11.83,7.43,8.28,7.36,6.68,10.73,9.94,15.52,2.9,11.14
February,11.09,2.03,7.37,7.24,1.16,5.33,7.08,4.25,6.41,2.77,0.73
March,7.01,11.82,3.07,3.31,1.67,3.55,6.13,4.76,5.58,1.47,4.61
April,2.5,1.99,3.79,4.75,3.42,7.24,2.73,4.1,3.46,1.26,2.65
May,7.08,3.94,5.75,3.03,5.12,9.22,3.18,4.23,1.97,5.25,3.1
June,2.75,0.75,2.84,1.86,3.27,1.53,3.62,4.64,7.01,3.99,3.88
July,4.61,5.16,4.16,4.76,4.16,2.23,3.21,4.75,4.7,6.41,3.19
August,6.56,7.03,3.44,7.59,3.8,4.25,5.09,6.86,5.38,6.9,7.15
September,4.05,3.1,4.05,11.67,7.41,3.88,4.84,9.49,5.79,1.86,4.82
October,3.72,6.47,3.49,9.37,4.07,6.24,9.2,7.91,10.98,8.78,10.65
November,6.96,4.06,4.04,5.42,5.31,1.46,8.36,8.28,9.87,10.47,9.26
December,6.14,11.57,7.1,5.81,11.28,4.04,3.63,1.38,8.28,15.58,7.32
Total,72.11,69.75,56.53,73.09,58.03,55.65,67.8,70.59,84.95,67.64,68.5
Calc annual,72.11,69.75,56.53,73.09,58.03,55.65,67.8,70.59,84.95,67.64,68.5
Difference,0,0,0,0,0,0,0,0,0,0,0
