"SHAWS W.W. PROSPECT HILL",,,,,,,,,,,,
Grid ref,NS268757,Long,-4.774894,Lat,55.943042,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,9.86,5.01,6.26,11.34,7.10,4.66,9.24,4.61,9.65,9.10,,
February,4.90,1.78,1.85,12.10,5.95,5.89,5.20,5.72,4.87,3.25,,
March,0.30,3.74,5.30,12.56,3.53,6.73,5.75,6.28,7.00,1.90,,
April,4.48,4.88,2.61,2.11,7.49,4.22,1.97,4.03,2.01,5.47,,
May,4.94,1.91,2.72,3.89,3.74,2.46,6.33,6.27,3.31,3.90,,
June,4.03,4.16,1.83,2.85,3.22,1.51,1.87,5.41,3.87,3.61,,
July,3.53,2.35,4.03,5.04,3.04,3.99,3.78,2.59,4.40,4.29,,
August,5.49,5.94,3.89,9.80,5.85,6.17,4.77,7.56,5.57,3.72,,
September,5.97,5.11,4.98,5.00,6.36,2.93,3.62,2.01,9.53,2.28,,
October,8.32,5.93,4.41,10.97,3.50,4.92,8.63,5.99,1.50,9.59,,
November,7.60,5.58,5.83,4.93,4.09,7.12,5.95,5.44,5.49,3.98,,
December,11.60,6.70,7.62,6.76,6.11,5.90,6.04,9.09,7.98,9.75,,
Total,71.02,53.09,51.33,87.35,59.98,56.50,63.15,65.00,65.18,60.84,,
Calc annual,71.02,53.09,51.33,87.35,59.98,56.50,63.15,65.00,65.18,60.84,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
