"GREENOCK (PROSPECT HILL)",,,,,,,,,,,,
Grid ref,NS268757,Long,-4.774894,Lat,55.943042,,,,,,,
Station no,5316,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.21,7.75,3.64,7.59,4.52,4.08,9.25,7.27,2.08,4.95,,
February,3.99,2.61,3.36,6.36,3.92,1.87,4.30,3.46,2.43,5.99,,
March,4.08,4.61,2.38,4.34,2.11,3.14,5.95,1.33,3.85,3.25,,
April,3.85,3.01,2.58,2.88,3.76,1.97,2.86,2.35,4.86,7.23,,
May,2.23,1.98,3.04,3.87,4.56,3.68,2.28,4.50,1.37,3.03,,
June,2.15,4.21,1.24,4.02,3.25,3.13,2.41,3.49,3.61,3.33,,
July,3.44,2.87,6.70,3.38,1.04,4.89,5.97,6.30,7.21,4.72,,
August,4.88,5.93,5.00,5.14,1.24,5.40,4.40,5.07,1.74,3.51,,
September,5.31,4.43,7.16,8.38,5.18,4.75,3.80,5.41,1.71,3.50,,
October,1.81,6.64,4.89,10.75,5.04,3.70,6.60,6.37,7.07,3.20,,
November,8.07,2.16,11.23,9.09,3.01,2.65,2.51,2.53,7.12,8.56,,
December,11.29,7.59,6.92,8.71,9.19,8.60,7.70,7.58,10.63,7.60,,
Total,57.31,53.79,58.14,74.51,46.82,47.86,58.03,55.66,53.68,58.87,,
Calc annual,57.31,53.79,58.14,74.51,46.82,47.86,58.03,55.66,53.68,58.87,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
