GREENOCK (PROSPECT HILL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS268757,Long,-4.774894,Lat,55.943042,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,10.95,7.54,1.7,4.3,0.56,7.07,8.38,11.07,6.98,6.84,6.27,5.33,5.69,9.95,5.72,6.9,2.83,10.89,1.46,4.73,1.84,7.35,9.63,9.86,5.01,6.26,11.34,7.1,4.66,9.24,4.61,9.65,9.1,9.01,7.29,7.43,7.42,6.36,5.6,10.04,3.19,7.23,5.24,9.64,11.83,7.43,8.28,7.36,6.68,10.73,9.94,15.52,2.9,11.14,6.62,10.42,8.64,10.2,3.25,6.55,9.39,10.14,4.96,3.5,0.9,9.68,7.14,8.52,4.43,10.07,8.02,9.88,8.98,5.45,6.21,7.75,3.64,7.59,4.52,4.08,9.25,7.27,2.08,4.95
February,,,,,,,,7.27,3.99,2.43,5.6,5.82,6.31,7.56,7.78,7.43,2.16,5.52,1.24,4.96,1.41,2,2.6,6.04,14.07,0.64,3.88,5.71,6.59,4.47,4.9,1.78,1.85,12.1,5.95,5.89,5.2,5.72,4.87,3.25,9.14,10.62,5.75,5.1,7.77,10.55,8.3,1.38,10.53,2.3,11.09,2.03,7.37,7.24,1.16,5.33,7.08,4.25,6.41,2.77,0.73,6.09,0,4.88,0.92,8.58,3.74,5.86,4.33,8.79,2.5,5.7,2.48,7.05,2.38,9.38,4.07,1.14,7.77,7.3,7.24,3.99,2.61,3.36,6.36,3.92,1.87,4.3,3.46,2.43,5.99
March,,,,,,,,4.38,2.7,6.45,3.8,5.87,6.57,2.69,4.17,4.41,4.63,2.57,4.04,2.94,5.67,4.47,1.39,2.8,6.54,4.71,7.54,7.47,2.86,5.56,0.3,3.74,5.3,12.56,3.53,6.73,5.75,6.28,7,1.9,3.21,2.08,7.27,8.86,7.42,3.91,2.24,3.58,2.63,6.27,7.01,11.82,3.07,3.31,1.67,3.55,6.13,4.76,5.58,1.47,4.61,1.76,2.42,3.95,3.28,2.12,4.04,1.65,6.62,4.4,5.26,3.01,4.8,4.05,1.47,4.79,2.93,4.17,6.82,2.75,4.02,4.08,4.61,2.38,4.34,2.11,3.14,5.95,1.33,3.85,3.25
April,,,,,,,,4.65,3.3,1.8,4.5,2.51,2.85,3.82,2.31,3.33,3.86,3.2,3.05,3.75,1.88,2.51,1.92,2.25,2.28,3.82,2.6,3.94,5.36,4.76,4.48,4.88,2.61,2.11,7.49,4.22,1.97,4.03,2.01,5.47,5.19,4.71,3.1,5.9,4.61,4.69,4.95,2.02,1.06,3.11,2.5,1.99,3.79,4.75,3.42,7.24,2.73,4.1,3.46,1.26,2.65,2.32,5.82,2.99,3.58,3.84,1.55,2.81,0.85,3.66,3.26,2.73,3.07,4.61,3.86,2.16,2.38,9.71,3.76,8.05,4.18,3.85,3.01,2.58,2.88,3.76,1.97,2.86,2.35,4.86,7.23
May,,,,,,,,3.94,4.65,2.7,1.7,3.45,3.79,3.65,5.1,3.54,4.03,1.03,5.79,3.33,3.29,2.29,5.75,3.08,3.43,0.21,0.71,3.44,2.19,4.14,4.94,1.91,2.72,3.89,3.74,2.46,6.33,6.27,3.31,3.9,3.23,3.86,3,4.97,2.55,1.35,5.33,4.15,3.84,1.17,7.08,3.94,5.75,3.03,5.12,9.22,3.18,4.23,1.97,5.25,3.1,5.83,2.76,3.62,3.82,0.57,2.73,1.74,3.9,1.41,0.85,2.21,3.38,3.85,4.9,5.11,1.46,5.07,1.87,2.77,1.57,2.23,1.98,3.04,3.87,4.56,3.68,2.28,4.5,1.37,3.03
June,,,,,,,,4.94,3.05,5.1,2.12,5.56,4.73,3.71,1.62,1.77,1.81,1.31,3.34,1.62,6.01,1.73,4.67,1.78,3.18,2.32,4.54,7.16,3.28,2.06,4.03,4.16,1.83,2.85,3.22,1.51,1.87,5.41,3.87,3.61,2.93,3.85,5.81,5.1,1.19,2.15,2.17,4.08,2.05,6.16,2.75,0.75,2.84,1.86,3.27,1.53,3.62,4.64,7.01,3.99,3.88,7.01,1.76,3.09,2.82,3.42,1.73,2.96,7.39,1.72,1.28,1.3,2.56,3.85,5.04,4.19,3.9,3.83,5.72,1.26,2.21,2.15,4.21,1.24,4.02,3.25,3.13,2.41,3.49,3.61,3.33
July,,,,,,,,4.92,0.8,4.6,3,5.97,7.34,2.95,8.27,2.97,3.77,4,5.81,2.37,4.66,1.76,2.96,5.33,3.22,4.99,5.08,3.34,1.81,4.1,3.53,2.35,4.03,5.04,3.04,3.99,3.78,2.59,4.4,4.29,4.56,3.91,3,1.61,2.21,4.12,2.73,2.54,4.43,1.6,4.61,5.16,4.16,4.76,4.16,2.23,3.21,4.75,4.7,6.41,3.19,4.4,3.09,3.77,2.85,2.29,6.66,4.15,4.57,5.39,3.06,3.65,4.01,2.72,5.17,4.16,3.86,5.03,6.04,3.07,5.96,3.44,2.87,6.7,3.38,1.04,4.89,5.97,6.3,7.21,4.72
August,,,,,,,,8.7,3.4,5.2,2.48,5.79,3.47,6.12,3.46,3.08,3.45,3.9,4.1,7.47,3.27,7.02,9.47,5.71,4.67,8.58,3.12,7.23,7.28,1.86,5.49,5.94,3.89,9.8,5.85,6.17,4.77,7.56,5.57,3.72,9.59,6.05,7.21,1.8,5.63,2.19,4.87,4.69,5.16,4.06,6.56,7.03,3.44,7.59,3.8,4.25,5.09,6.86,5.38,6.9,7.15,1.88,3.26,3.51,5.27,2.94,2.75,3.69,2.48,1.79,2.77,5.19,5.78,8.78,3.91,2.41,2.52,0,7.84,5.07,7.43,4.88,5.93,5,5.14,1.24,5.4,4.4,5.07,1.74,3.51
September,,,,,,,,3.01,5.4,9.3,2.85,4.08,4.28,3.59,5.17,9.21,8.99,5.82,2.17,2.35,7.28,8.04,9.95,4.64,0.2,2.71,5.54,5.51,7.24,5.89,5.97,5.11,4.98,5,6.36,2.93,3.62,2.01,9.53,2.28,2.17,2.74,3.36,2.68,3.22,1.61,2.38,4.82,7.47,5.78,4.05,3.1,4.05,11.67,7.41,3.88,4.84,9.49,5.79,1.86,4.82,1.64,5.77,0.71,6.55,8.78,4.12,4.48,5.03,3.09,4.99,1.92,6.87,4.74,5.7,6.06,7.49,6.36,8.64,2.81,10.1,5.31,4.43,7.16,8.38,5.18,4.75,3.8,5.41,1.71,3.5
October,,,,,,,,10.41,8.18,2.77,0.6,3.35,4.95,7.38,8.04,4.99,5.34,3.8,3.64,4.97,4.61,6.72,3.72,8.96,4.37,3.84,3.94,4.08,4.59,5.83,8.32,5.93,4.41,10.97,3.5,4.92,8.63,5.99,1.5,9.59,3.58,4.97,8.06,4.2,3.13,3.55,9.9,11.97,9.59,1.19,3.72,6.47,3.49,9.37,4.07,6.24,9.2,7.91,10.98,8.78,10.65,6.78,7.45,3.18,9.23,12.78,7.72,2.84,11.72,3.63,7.78,7.03,8.82,12.74,6.55,7.23,0.58,3.66,10.73,8.15,7.19,1.81,6.64,4.89,10.75,5.04,3.7,6.6,6.37,7.07,3.2
