HYDE CHESHIRE ,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ944953,Long,-2.0851,Lat,53.455,Elevation,320,ft,,,,,,,,,,,,
Station no ,RR499 ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January ,,0.4,1,0.5,4.3,4,2.9,3.2,0.9,2.8,4,,,,,,,,,
February ,,2.3,0.4,3.2,2.1,2.9,3.6,2.8,1.3,2,1.5,,,,,,,,,
March ,,3.3,2.2,1.3,3.1,3,4.4,1.3,2.4,3.4,0,,,,,,,,,
April ,,0.9,2.4,2.3,1.6,1.6,2.8,1.8,3.7,0.9,0.6,,,,,,,,,
May ,,1.8,1.2,2.1,0.8,2.5,0.2,1.4,3.8,0.5,3.5,,,,,,,,,
June ,,2.7,5.2,7.1,2.7,1.7,4,1.9,4.6,4.1,3.5,,,,,,,,,
July ,,4.5,2.4,2.9,6.1,1.7,3.4,3.4,3.8,3.8,6.4,,,,,,,,,
August ,,2.5,2.5,4.8,1.8,3.2,2.2,2.8,5.8,4.5,5,,,,,,,,,
September ,,0.9,3,2.9,2.5,4.3,4.9,2.6,1.4,5.2,3.9,,,,,,,,,
October ,,4.4,2.5,3.2,2,4.3,2.7,5,4.4,2.9,2.1,,,,,,,,,
November ,,5.7,3.6,4.5,1.7,3.1,7.3,4.8,2.6,3.8,4.9,,,,,,,,,
December ,,2.1,5.7,6.3,1,1.6,4.1,3.9,0.9,2.2,0.3,,,,,,,,,
Total ,,31.5,32.1,41.1,29.7,33.9,42.5,34.9,35.6,36.1,35.7,,,,,,,,,
