POYNINGS-SADDLESCOMBE-PUMPING-STATION,,,,,,,,,,
Grid ref,TQ272112,Long,-0.19302771,Lat,50.886294,Elevation,528,ft,,
Station no,490/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,3.25,5.07,4.64,3.51
February,,,,,,,5.49,2.64,0.03,3.15
March,,,,,,,2.18,2.02,2.33,2.73
April,,,,,,,0.2,0.91,2.6,1.11
May,,,,,,,1,2.95,0.55,1.81
June,,,,,,,1.38,4.08,1.92,2.02
July,,,,,,,5.49,2.14,1.55,5.82
August,,,,,,,2.94,5.38,1.53,6.14
September,,,,,,,4.48,4.68,0.12,4.49
October,,,,,,,2.19,3.69,3.29,8.23
November,,,,,,,3.32,2.91,4.11,8.92
December,,,,,,,2.73,5.61,9.08,4.99
Total,,,,,,,34.65,42.08,31.75,52.92
