"SHEFFIELD (WESTON PARK)",,,,,,,,,,,,
Grid ref,SK339873,Long,-1.491836,Lat,53.381468,,,,,,,
Station no,3119,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.71,3.53,0.83,2.76,2.35,6.07,1.76,3.39,3.53,5.42,,
February,3.64,0.77,2.15,2.93,2.72,1.19,3.10,4.79,0.08,3.06,,
March,4.03,2.24,1.88,2.42,3.46,1.03,2.29,1.96,1.51,2.05,,
April,1.25,1.60,2.36,0.30,0.74,2.49,0.08,0.77,3.49,1.53,,
May,3.96,2.93,2.41,3.69,3.37,0.44,1.07,2.81,1.05,1.83,,
June,0.58,1.47,1.94,2.25,3.38,3.23,1.25,4.98,1.20,1.63,,
July,1.29,1.28,2.59,1.93,1.21,5.58,3.27,5.69,1.32,2.55,,
August,5.24,1.45,3.14,6.56,0.76,5.75,4.61,2.59,0.74,3.17,,
September,1.77,2.75,1.37,2.28,0.72,3.28,3.89,3.38,0.02,4.28,,
October,0.93,4.90,1.98,3.09,2.37,1.30,1.63,2.62,2.25,7.04,,
November,7.85,1.99,1.73,6.70,2.64,0.84,2.41,0.61,4.17,4.57,,
December,3.66,2.37,1.12,3.76,3.79,4.24,3.48,4.33,4.60,3.60,,
Total,36.91,27.28,23.50,38.67,27.51,35.44,28.84,37.92,23.96,40.73,,
Calc annual,36.91,27.28,23.50,38.67,27.51,35.44,28.84,37.92,23.96,40.73,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
