AILSA CRAIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX025997,Long,-5.108962,Lat,55.252263,Elevation,35,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,1.56,1.1,1.2,1.31,1.61,1.4,0.15,0.51,,0.85,0.23,0.3,2.15,2.26,0.85,0.84,5.22,4,3.17,6.94,5.06,2.08,3.95,1.93,1.19,1.46,1.97,2.36,2.37,3.07,0.76,1.27,2.4,3.28,4.55,3.21,1.88,2.35,2.91,3.46,4.52,4.16,1.27,3.33,4.49,3.32,2.66,3.12,2.13,2.68,3.49,4.23,2.54,2.38,0.32,4.58,3.8,2.54,3.81,4.2,,3.76,6.9,1.69,2.93,2.33,2.21,3.59,2.16,4.01,2.99,3.39,1.41,3.03
February,,,,,,,,1.4,0.5,1.35,0.35,0.08,0.73,1.24,4.5,,1.31,0.99,0.78,0.08,1.34,0.85,0.31,1.27,3.6,3.63,6.32,2.05,3.32,1.54,4.18,3.66,1.83,0.68,2.77,2.98,2.97,0.62,2.78,1.39,2.49,1,2.79,2.95,0.28,3.3,3.39,1.41,1.51,1.52,0.31,3.58,0.02,1.39,0.56,4.07,1.78,3.79,1.64,3.21,1.34,2.64,1.19,2.75,2.18,3.1,2.49,,1.99,1.96,2.07,2.2,0.5,1.25,2.15,3.61,0.71,2.01,3.16,1.03,2.28
March,,,,,,,,0.92,0.7,0.75,0.94,1.42,0.28,0.3,0.1,1.28,0.32,1.74,1.34,2,0.19,0.6,1.34,1.95,1.7,3.51,8.15,8.5,3.49,4.94,1.62,0.62,2.86,1.57,2.69,1.6,1.26,0.7,0.75,2.28,2.6,3.78,1.23,0.7,0.58,1.31,2.02,3.03,2.39,0.76,2.19,0.74,2.29,1.91,2.14,1.04,1.48,0.78,1.35,3.6,5.04,1.43,2.17,1.65,0.82,1.63,1.49,,2.45,1.25,1.3,1.7,0.9,0.5,2.73,0.85,1.09,1.99,1.13,1.83,1.51
April,,,,,,,0.99,1.2,0.45,1.25,0.08,0.38,0.2,0.13,0.9,,0.15,0.5,2.7,1.9,0.72,1.45,0.07,0.51,3.3,2.2,1.18,5.75,1.4,2.65,3.54,3.19,0.96,1.43,1.95,1.65,2.13,0.77,0.7,0.43,2.36,1.74,2.94,1.33,0.88,2.46,1.51,1.75,1.97,1.03,1.55,1.06,3.3,0.88,2.81,2.18,0.4,2.34,0.34,1.84,2.15,1.09,1,3.4,2.25,0.64,1.68,,1.62,2.48,2.02,1.94,1.24,1.71,1.2,3.7,0.72,0.16,1.7,2.84,2.55
May,,,,,,,2.95,1.2,1.15,0.5,2.56,1,3.02,0.22,0.24,,0.9,0.15,2.1,2.5,0.95,0.5,1.15,2.84,2.3,1.3,4.14,8.39,1.28,2.42,0.6,0.64,0.79,1.52,1.29,1.1,2.35,3.13,2.65,0.22,2,1.99,2.89,1.18,1.05,5.96,1.81,1.31,0.45,2.79,1.61,2.29,2.13,1.73,3.04,0.54,3.31,1.08,2.16,0.65,1.97,3.07,1.82,1.77,2.29,2.32,0.35,2.97,0.74,1.11,0.94,0.54,1.21,1.4,1.52,0.86,1.58,0.69,2.55,2.13,1.52
June,,,,,,,0.87,0.4,0.95,2.02,2.19,0.43,2.17,0.1,0.15,0.51,2.25,2.03,1.17,1.2,0.6,1.4,0.85,0.8,2.1,1.4,4.3,9.6,2.87,2.45,1.25,1.07,4.23,1.75,0.49,0.93,1.65,0.73,1,2.92,1.43,0.5,2.42,0.82,0.48,0.68,1.24,3.5,4.1,2.07,2.07,5.51,1.91,1.73,2,2.58,1.61,2.48,4.46,1.58,1.37,0.73,1.54,4,2.82,2.95,1.48,,3.81,0.53,1.76,0.86,2.01,1.13,3.29,4.91,1.34,1.46,2.54,2.89,1.99
July,,,,,,,2.09,1.4,0.9,2.36,2.12,0.8,1.72,0.8,0.34,2.1,2.13,0.42,1.42,3,1.73,0.17,0.67,1.7,3.15,5.06,7.7,6.89,3.08,4.86,4.79,1.19,1.62,0.69,1.48,3.08,2.66,0.83,1.74,0.38,2.97,3.28,1.7,2.29,1.73,2.84,2.59,0.97,2.27,2.04,1.72,2.96,2.46,2.9,1.86,1.23,6.28,2.96,5.31,3.37,3.41,2.95,2.71,0.61,2.48,1.69,3.13,,2.56,1.18,2.97,1.21,0.39,3.96,3.48,0,3,3.27,3.27,2.45,2.48
August,,,,,,,1,1.3,1.65,9.04,1.44,4.18,5,0.25,0.13,4.9,1.44,4.89,1.99,0.08,1.24,4.3,2.47,2.75,11.7,7.72,7.75,6.98,3,2.61,5.14,0.36,1.49,1.47,3.11,0.84,2.05,1.25,2.39,3.8,3.86,3.5,1.96,3.83,2.67,1.8,1.97,2.49,3.39,5.56,3.92,1.97,1.4,2.06,3.27,1.4,2.23,2.66,1.87,1.21,1.76,4.1,5.5,4.67,3.06,1.07,2.61,0.11,3.52,1.88,1.66,1.66,5.25,3.21,3.77,0.35,6.05,2.53,3.34,0.64,3.97
September,,,,,,,3.36,1.4,0.65,4.01,2.85,2.18,2.89,0.61,0.2,0.73,2.3,2.48,2.89,0.93,1.24,2.3,2.22,1.25,1.84,4.49,0.87,1.25,2.85,2.36,0.74,1.08,1.58,1.66,1.64,1.02,1.07,0.79,4.06,3.22,2.03,1.62,1.54,3.72,3.58,2.73,3.58,5.22,2.61,0.97,3.81,0.85,4.55,1,4.72,2.87,3.63,2.15,3.07,2.28,5.57,1.72,5.21,3.01,3.92,3.05,5.29,,4.41,1.83,5.92,0.8,2.23,4.89,3.86,3.54,3.42,3.04,1.71,1.78,2.59
October,,,,,,,1.84,0.85,0.8,0.59,1.49,3.14,2.91,0.63,1.35,,0.95,0.14,2.72,0.97,1.39,4.4,1.2,6,1.74,7.14,9.69,5.8,1.26,3.43,1.65,1.07,3.22,1.43,1.52,1.88,2.86,4.98,3.84,0.99,2.35,3.33,0.93,3.21,2.07,3.12,3.7,3.08,4.29,3.95,6.24,2.82,5.14,2.48,4.14,6.06,4.07,2.63,6.39,1.35,3.16,3.72,4.18,2.65,4.83,2.5,0.72,1.38,3.95,3.05,2.33,0.09,3.8,2.87,6.3,2.15,2.34,3.41,2.52,4.64,1.82
