DUKINFIELD-HIGHER-RES-NEW-POSITION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ955972,Long,-2.0692604,Lat,53.471514,Elevation,435,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,3.99,5.06,1.84,1.3,3.39,5.1,5.26,3.35,4.13,2.37,8.38,1.91,2.46,3.82,3.64,1.52,3.6,2.02,4.39,2.02,2.72,3.24,4.52
February,,,,,,,,1.18,3.73,2.04,4.2,1.53,2.42,1.86,4.06,5.99,0.96,2.15,1.78,4.46,2.48,1.23,1.99,2.89,1.62,1.25,2.16,4.13,0.33,1.94
March,,,,,,,,1.1,1.98,3.11,3.1,2.06,0.92,0.46,1.22,0.83,5.2,1.15,1.53,1.96,4.65,2.29,2,2.26,1.87,1.18,2.93,2.08,1.62,0.64
April,,,,,,,,0.37,1.67,2.33,1.71,1.76,1.73,2.86,2.5,1.57,2.87,1.24,3.61,3.08,2.34,3.41,1.95,0.73,1.81,2.94,0.36,1,2.34,1.71
May,,,,,,,,3.86,1.86,2.82,1.93,3.81,1.97,3.76,4.09,1.06,1.99,1.39,3.35,1.01,1.16,1.62,1.88,2.71,2.84,0.98,1.23,2.64,0.66,1.87
June,,,,,,,,3.73,2.98,1.05,3.04,1.13,3.38,2.73,3.91,3.05,2.47,4.82,1.08,2.81,1.08,2.3,3.47,2.86,2.55,3.14,1.95,4.48,2.38,1.63
July,,,,,,,,4.42,6.73,5.63,2.24,3.99,1.95,3.31,1.42,5.86,3.71,2.73,1.84,3.32,3.24,3.61,5.69,5.77,0.97,5.36,3.88,4.8,2.96,4.78
August,,,,,,,,2.74,1.77,1.71,5.37,4.38,5.42,3.43,2.68,4.15,0.53,5.02,2.82,3.97,4.91,2.33,4.12,5.25,0.72,9.33,4.29,5.01,0.35,6.01
September,,,,,,,,2.06,1.22,3.06,0.55,2.22,4.39,4.7,3.12,5.32,2.13,2.26,0.68,5.42,2.4,2.8,1.98,4,1.89,2.39,5.97,3.88,0.13,3.37
October,,,,,,,,6.83,1.64,3.5,4.69,5.43,2.97,3.75,6.42,0.59,0.65,2.47,2.83,2.49,0.94,2.87,1.93,6.01,1.59,2.2,3.59,3.25,2.57,3.46
November,,,,,,,,4.55,6.1,6.46,2.54,1.14,2.8,6.61,0.57,5.64,4.75,3.34,5.21,5.82,6.15,1.83,3.3,4.89,1.81,1.4,1.6,1.43,3.71,5.41
December,,,,,,,,4.01,3.48,3.95,2.03,3.29,1.91,2.93,2.68,3.55,3.4,3.14,5.73,3.25,5.47,2.83,1.4,3.68,3.92,3.46,3.75,3.15,4.65,3.82
Total,,,,,,,,38.84,38.22,37.5,32.7,34.13,34.96,41.66,36.02,41.74,31.03,38.09,32.37,40.05,38.64,30.76,31.23,44.65,23.61,38.02,33.73,38.57,24.94,39.16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is west of reservoir. Altitudes match. Gauge moved about 200m W at the beginning of 1938. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
