SHEFFORD-COUNCIL-SCHOOL (CLIFTON ROAD),,,,,,,,,,,,,,,,,,,,
Grid ref,TL146390,Long,-0.33068091,Lat,52.037569,Elevation,126,ft,,,,,,,,,,,,
Station no,1171,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,3.34,2.75,3.92,2.57,2.82,1.98,3.29,1.11,2.17,,,,,
February,,,,,,,3.6,0.55,0.62,2.31,1.51,0.63,0.59,1.25,1.33,,,,,
March,,,,,,,3.94,0.27,1.66,3.95,2.78,1.22,0.61,0.14,0.62,,,,,
April,,,,,,,2.61,0.07,4.06,2.18,1.07,0.88,0.66,1.92,0.57,,,,,
May,,,,,,,4.49,2.36,1.71,1.82,1.82,2.05,1.49,1.38,2.63,,,,,
June,,,,,,,1.57,0.64,1.68,1.16,1.05,0.22,2.02,1.5,1.81,,,,,
July,,,,,,,2.02,2.46,2.35,4.81,1.89,2.45,0.45,1.55,2.43,,,,,
August,,,,,,,1.28,3.29,6.72,0.1,3.4,1.61,1.17,1.99,1.28,,,,,
September,,,,,,,2.61,1.74,0.94,0.59,0.46,1.11,1.17,2.07,2.41,,,,,
October,,,,,,,2.69,2.69,5.13,3.16,1.56,2.55,1.87,3.16,3.02,,,,,
November,,,,,,,2.16,2.36,4.8,10.45,1.9,1.72,0.9,2.89,0.51,,,,,
December,,,,,,,3.15,3.18,1.78,1.73,0.79,1.48,0.72,0.83,2.5,,,,,
Total,,,,,,,33.46,22.36,35.37,34.83,21.05,17.9,14.94,19.79,21.28,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1937 Gauge moved,,,,,,,,,,,,,,,,,,,,
