SHEFFORD-COUNCIL-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL137388,Long,-0.34386231,Lat,52.035957,Elevation,134,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,0.97,3.29,2.2,0.85,2.55,1.01,1.87,1.66,3.5,2.09,1.94,2.39,1.31,2.37,1.35,1.73,1.96,2.64,1.14,2.01,1.48,1.25,1.3,1.16,1.31,3.44,,,,
February,,1.21,1.21,0.85,1.51,2.6,3.94,0.78,0.83,2.23,0.36,0.36,1.63,2.47,0.74,2.33,2.82,2.62,1.25,0.57,0.38,2.24,0.23,1.74,0.73,2.36,2.2,,,,
March,,1.92,2.21,2.3,3.25,1.59,5.12,1.46,0.36,2.54,1.75,0.82,1.72,2.22,0.77,1.26,0.26,1.88,1.32,0.08,1.42,0.11,1.98,2.13,1.49,0.29,1.18,,,,
April,,1.07,0.06,3.13,0.67,0.94,1.32,1.36,1.9,1.95,3.12,0.99,2.97,1.84,2.72,1.56,3.53,1.55,1.35,1.41,1.4,3.55,2.29,1.05,1.31,2.81,2.06,,,,
May,,1.23,1.67,1.69,1.21,2.05,1.98,2.16,2.05,0.39,1.42,1.02,0.93,1.45,6.32,2.13,1.88,0.81,1.51,1.21,2.25,2.79,4.77,2.08,0.63,1.66,0.6,,,,
June,,2.12,2.87,0.86,1.93,1.55,3.03,2.66,0.52,1.46,1.46,0.33,1.01,0.61,2.25,0.07,2.68,2.6,1.78,0.58,0.29,1.7,0.66,1.35,0.65,2.43,4.87,,,,
July,,0.28,3.33,1.4,1.94,3.91,1.86,3.79,2.53,3.24,3.46,0.17,4.19,3.17,3.5,1.99,2.22,2.1,2.48,0.81,2.04,5.06,2.73,2.29,1.72,0.33,5.51,,,,
August,,1.9,6.5,0.79,1.87,2.41,2.89,4.76,0.69,2.54,1.07,1.13,1.97,3.77,2.41,2.71,1.52,2.64,2.67,0.49,2.17,4.96,4,1.12,1.85,1.64,0.31,,,,
September,,1.24,1.9,1.9,0.89,1.41,1,2.06,5.49,1.45,1.85,1.39,2.49,2.58,2.52,2.9,1.79,3.95,0.86,0.11,3.55,2.66,2.39,2.31,2.11,3.85,3.14,,,,
October,,1.77,2.1,2.7,2.61,1.2,3.6,3.3,1.26,0.68,1.08,0.84,0.63,3.87,4.15,3.08,2.5,1.21,2.65,2.77,1.06,0.7,4.23,1.66,1.76,2.81,1.86,,,,
November,,2.62,1.98,1.74,2.31,2.33,4.38,1.09,1.95,1.65,1.04,1.59,1.04,1.14,2.53,1.45,3.35,2.33,1.64,5.2,4.24,2.69,1.51,1.53,2,4.56,2.48,,,,
December,,3.43,2.36,1.16,6.1,3.82,2.32,0.42,1.72,3.67,1.64,1.52,1.88,2.08,2.6,1.75,0.34,2.76,2.31,3.43,2.49,0.96,0.49,0.38,3.41,1.92,1.75,,,,
Total,,19.76,29.48,20.72,25.14,26.36,32.45,25.71,20.96,25.3,20.34,12.1,22.85,26.51,32.88,22.58,24.62,26.41,22.46,17.8,23.3,28.9,26.53,18.94,18.82,25.97,29.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937 Gauge moved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
