"KENDAL (CROSTHWAITE, LOW FELL)",,,,,,,,,,,,,,,,,,,,
Grid ref,SD421909,Long,-2.8914227,Lat,54.310397,Elevation,200,ft,,,,,,,,,,,,
Station no,3714/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,5.18,9.6,7.21,2.78,1.55,7.17,10.1,7.05,5.15,7.31,5.47,,,
February,,,,,,,8.68,3.17,6.71,2.55,5.86,2.62,3.6,2.21,6.57,4.82,0.91,,,
March,,,,,,,1.67,3.07,3.03,6.45,3.8,4.91,1.54,0.76,3.36,2.93,7.97,,,
April,,,,,,,3.87,0.9,2.8,2.66,1.93,2.71,3.1,3.67,2.86,1.64,5.79,,,
May,,,,,,,2.3,5.84,1.27,1.05,4.68,4.89,4.95,2.74,4.92,1.74,3.54,,,
June,,,,,,,3.29,6.84,4.28,0.97,0.65,1.29,4.57,4.55,5.17,4.7,3.53,,,
July,,,,,,,3.43,7.8,8.33,6.07,2.68,4.69,5.63,3.7,3.16,5.15,3.81,,,
August,,,,,,,4.04,4.86,3.27,1.96,5.16,5.47,7.97,4.72,1.78,4.84,0.31,,,
September,,,,,,,5.05,3.26,2.47,4.4,1.97,6.56,6.47,6.45,5.46,9.58,4.47,,,
October,,,,,,,3.51,15.49,1.99,7.1,8.34,6.21,6.57,6.27,7.23,0.93,0.95,,,
November,,,,,,,1.92,8.05,10.33,6.99,3.55,1.5,3.92,9.27,0.33,10.34,8.16,,,
December,,,,,,,5.91,6.52,3.75,7.05,3.73,7.07,3.22,5.95,3.84,7.03,3.4,,,
Total,,,,,,,48.85,75.4,55.44,50.03,43.9,55.09,61.64,57.34,49.83,61.01,48.31,,,
