ASHLEY-UPPER-SOMBORNE-(8-INCH-GAUGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU398321,Long,-1.4318,Lat,51.0869,Elevation,250,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,657/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,4.35,0.89,1.31,3.93,4.94,4.05,3.22,5.41,1.91,3.53,3.29,5.75,2.22,6.03,,,1.93,2.88,2.63,2.92,0.54,5.01,6.73,3.45,5.44,2.63,3.33,3.68,6.11,2.47,1.61,,,,,
February,,,,,,5.83,5.69,0.99,1.67,2.65,0.91,0.21,3.37,5.92,0.55,4.41,1.98,3.92,2.42,,,1.92,0.09,3.91,0.08,3.58,2.9,5.28,0.63,1.85,3.45,3.04,0.51,1.52,0.48,,,,,,
March,,,,,,1.02,3.25,2.7,1.06,5.76,2.62,1.27,3.12,2.04,1.59,0.53,0.64,3.45,2.94,,,0.61,1.87,3.41,3.63,0.71,2.39,3.48,0.22,1.13,2.78,3.79,2.02,0.64,0.27,,,,,,
April,,,,,,1.04,0.36,2.31,2.86,2.24,3.85,1.11,4.44,3.52,3.62,2.98,3.3,1.75,1.86,,,3.25,4.67,1.16,2.16,3.64,2.27,2.26,0.01,1.98,1.23,2.05,1.65,1.16,1.82,,,,,,
May,,,,,,4.31,1.26,1.91,1.66,0.52,1.13,1.96,1.05,1.93,4.19,4.09,2.15,0.71,1.92,,1.54,2.8,3.36,1.35,0.92,1.22,1.04,3.65,2.06,1.09,0.23,1.9,3.55,2.93,0.18,,,,,,
June,,,,,0.3,1.19,2.31,4.31,1.2,0.77,2.62,0.12,1.02,0.37,2.2,0,2.44,2.27,2.53,,0.38,2.48,1.98,2.18,1.36,4.23,2.99,1.4,1,1.91,0.33,1.31,0.2,1.12,2.66,,,,,,
July,,,,,2.4,4.36,1.57,4.04,6.36,1.63,5.68,0.56,5.13,1.09,4.94,3.62,1.78,3.26,1.21,,1.68,3.91,3.71,2.52,1.8,1.65,3.49,0.89,2.58,5.76,3.26,2.12,1.78,1.89,3.78,,,,,,
August,,,,,2.64,1.54,3.56,5.85,1.77,3.1,1.58,1.51,3.37,2.65,2.14,2.71,1.15,3.43,1.91,,3.77,4.01,0.87,0.85,3,2.48,0.42,1.7,2.13,2.54,0.01,4.15,3.52,1.53,2.02,,,,,,
September,,,,,0.89,3.02,1.89,2.22,5.32,2.4,1.04,1,1.89,2.24,4.42,3.42,1.05,6.09,,,3.57,1.43,4.07,3.18,1.75,4.1,3.5,2.62,1.46,1.63,2.21,0.26,1.74,1.74,1.94,,,,,,
October,,,,,2.29,3.67,6.53,4.24,1.76,0.9,4.03,1.16,1.64,6.09,4.54,3.69,2.43,2.32,6.05,,1.84,0.66,4.96,2.18,1.61,4.5,1.63,4.45,3.11,4.69,3.86,1.47,3.74,4.85,4.32,,,,,,
November,,,,,4.3,2.5,4.12,0.8,3.5,2.01,2.07,2.56,1.97,2.03,3.55,2.88,8.34,3.9,2.79,,4.86,3.81,1.96,0.72,1.92,7.5,2.96,1.6,5.03,5.68,7.64,3.07,1.46,1.49,5.26,,,,,,
December,,,,,8.55,7.25,4.49,1.46,2.82,6.51,3.05,1.62,4.37,3.48,6.85,4,0.29,4.05,3.15,,3.3,0.66,1.38,0.58,9.91,4.45,3.54,3.37,4.69,1.55,1.91,1.9,4.3,1.98,2.79,,,,,,
Total,,,,,,40.08,35.92,32.14,33.91,33.43,32.63,16.3,36.78,33.27,42.12,35.62,31.3,37.37,,,,27.47,31.8,24.67,31.06,38.6,32.14,37.43,26.37,35.25,29.54,28.39,28.15,26.96,27.99,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1916 Apr 1 Gauge moved 400yds SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928 Sept Marked as estimated ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 Gauge poor exposure between spruce fir trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-1934 Marked as read monthly All other years daily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-May 1914 deleted due to gauge regraduation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
