"CONSETT (STOCKLEY HOUSE)",,,,,,,,,,,,
Grid ref,NZ129503,Long,-1.800632,Lat,54.847344,,,,,,,
Station no,3546,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.61,2.07,0.60,2.57,2.10,3.46,2.12,2.49,,,,
February,2.63,0.39,1.57,2.12,2.70,3.22,3.01,2.73,,,,
March,4.23,1.45,0.02,1.40,2.00,1.01,1.59,3.14,,,,
April,2.03,1.63,2.97,0.74,0.46,1.21,0.42,1.26,,,,
May,4.87,1.72,2.54,4.23,1.87,0.71,2.01,,,,,
June,1.92,1.62,2.62,1.75,2.76,3.95,1.99,,,,,
July,1.68,0.71,2.31,1.77,1.16,2.66,4.73,,,,,
August,4.88,2.54,4.50,6.74,0.77,8.03,6.12,,,,,
September,1.26,4.08,1.60,2.58,0.93,3.01,4.06,,,,,
October,0.93,3.77,1.98,4.22,1.78,1.70,1.89,,,,,
November,7.55,3.54,1.27,5.01,1.87,0.66,2.68,,,,,
December,2.76,3.27,1.02,2.59,3.32,3.43,2.54,,,,,
Total,36.35,26.79,23.00,35.72,21.72,33.05,33.16,,,,,
Calc annual,36.35,26.79,23.00,35.72,21.72,33.05,33.16,9.62,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,NaN,NaN,NaN,,
