DAMAS GHYLL RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD527573,Long,-2.723231,Lat,54.009538,Elevation,590,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3064/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,2.16,5.23,3.22,5.64,5.16,2.9,1.37,4.41,7.28,6.73,4.22,4.71,4.06,8.59,3.45,2.97,5.3,4.69,2.75,5.44,2.79,3.86,4.82,3.94,3.11,6.44
February,,,,,6.36,3.27,6.53,1.88,3.55,3.05,6.18,1.75,2.64,2.16,5.7,4.74,0.93,2.57,2.58,5.13,4.5,1.45,2.1,3.94,2.18,0.64,3.48,7.31,1.32,3.71
March,,,,,1.49,2.45,1.99,1.62,2.22,4.06,3.1,2.83,1.17,0.7,3.52,1.12,6.63,3.35,2.08,2.43,5.4,3.05,0.94,2.91,1.71,1.19,3.24,2.28,2.54,1.76
April,,,,,2.77,0.83,3.65,0.7,2.74,3.05,1.92,2.01,3.26,3.49,2.57,2.25,4.48,1.77,5.38,2.87,3.01,3.68,3.63,1.48,3.09,1.73,0.87,1.92,2.52,3.37
May,,,,,1.66,2.02,2,3.67,0.98,1.72,3.32,3.92,3.91,3.95,3.45,2.13,2.82,1.63,2.61,1.87,2.32,2.95,2.47,3.08,4.47,3.24,3.84,5.63,2.56,3.09
June,,,,,4.49,3.9,3.41,5.73,3.8,0.94,0.72,1.1,3.93,4.55,5.55,3.96,3.86,5.53,0.92,4.37,1.41,5.65,3.27,5.41,4.25,3.51,2.44,4.62,4.09,2.32
July,,,,,2.67,5.03,2.82,5.66,5.67,5.42,1.92,5.92,5.26,4.4,3.66,6.58,5.61,4.29,4.85,5.07,4.38,2.33,6.73,7.37,1.74,4.93,4.83,3.84,5.85,8.07
August,,,,,3.05,3.98,2.95,4.22,2.46,3,5.96,5.69,8.46,3.56,2.09,8.76,0.23,5.19,3.61,8.13,5.06,7.38,5.57,7.69,1.33,12.87,4.15,4.56,0.41,5.98
September,,,,,8.86,4.84,4.25,2.45,2.05,6.34,2,5.31,5.4,8.14,3.53,8.06,5.09,6.2,1.66,9.22,5.34,5.31,6.25,8.07,3.63,3.22,8.18,5.24,0.65,4.37
October,,,,,7.47,4.41,2.13,12.12,1.84,5.39,7.41,7.2,5.47,6.58,5.92,0.44,0.56,4.82,7.25,4.26,1.88,4.82,2.16,12.14,2.46,3.7,7.37,5.26,4.28,3.63
November,,,,,4.36,6.32,2.09,5.56,6.72,5.47,2.75,1.51,3.32,7.03,0.36,6.97,6.55,4.61,6,5.99,9.37,2.22,6.08,7.9,1.99,1.64,2.22,2.41,5.72,9.03
December,,,,6.34,2.99,6.61,2.46,5.31,3.03,5.7,2.8,4.69,2.6,4.25,3.01,6.41,3.21,4.05,6.78,2.47,11.91,4.63,2.58,7.2,5.43,6.8,5.53,3.42,8.16,5.53
Total,,,,,48.33,48.89,37.5,54.56,40.22,47.04,39.45,46.34,52.7,55.54,43.58,56.13,44.03,52.6,47.17,54.78,59.88,48.16,44.53,72.63,35.07,47.33,50.97,50.43,41.21,57.3
