"DOUGARIE LODGE",,,,,,,,,,,,
Grid ref,NR883372,Long,-5.360405,Lat,55.582307,,,,,,,
Station no,5387,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.35,5.99,3.02,4.09,3.18,4.67,5.13,5.58,2.40,4.61,,
February,4.34,1.69,1.82,5.03,3.23,1.44,3.89,3.98,1.73,4.25,,
March,6.67,3.46,1.01,4.39,2.26,2.39,4.67,1.54,3.92,2.79,,
April,3.15,1.89,2.54,1.80,3.94,0.95,2.81,1.75,3.00,4.35,,
May,1.43,1.59,2.18,3.22,3.95,2.64,2.13,3.34,2.05,3.15,,
June,2.28,3.62,1.74,4.22,4.63,3.30,2.58,4.54,2.74,2.24,,
July,2.99,3.24,5.78,4.46,1.16,4.44,4.48,4.38,5.02,4.90,,
August,4.47,5.16,3.29,4.76,1.29,6.35,4.99,4.70,1.18,3.49,,
September,3.66,3.69,6.49,6.31,5.38,3.27,3.72,3.72,2.02,3.63,,
October,1.58,5.44,4.31,8.24,4.20,2.94,5.27,3.92,7.00,6.01,,
November,8.68,3.26,6.82,8.74,2.83,2.47,3.82,2.92,6.20,6.75,,
December,8.88,6.85,5.06,6.99,7.56,7.09,5.64,8.97,9.98,5.51,,
Total,54.48,45.88,44.06,62.25,43.61,41.95,49.13,49.34,47.24,51.68,,
Calc annual,54.48,45.88,44.06,62.25,43.61,41.95,49.13,49.34,47.24,51.68,,
Difference,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
