SHENLEY-GRANGE,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL188004,Long,-0.28274083,Lat,51.689794,Elevation,430,ft,,,,,,,,,,,,,
Station no,913,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,3.44,1.74,4.32,1.4,3.18,1.58,1.69,1.98,1.66,1.15,4.36,4.46,,,
February,,,,,,,2.63,4.19,2.07,0.69,1.18,1.76,0.2,1.75,0.41,2.6,2.14,4.24,,,
March,,,,,,,0.27,2.52,2.26,0,1.45,0.1,1.83,2.79,2.13,0.56,1.56,3.01,,,
April,,,,,,,2.95,2.07,1.24,1.41,2.35,3.73,2.45,1.26,1.78,3.2,1.39,3.38,,,
May,,,,,,,2.36,1.32,1.65,2.04,2.75,2.61,4.28,2.15,0.67,2.07,0.68,3.25,,,
June,,,,,,,3.5,3.28,3,1.08,0.8,1.44,1.35,1.95,1,3.91,5.74,2.44,,,
July,,,,,,,2.53,2.56,2.17,1.84,2.42,2.98,2.28,1.03,1.11,1.09,4.03,1.72,,,
August,,,,,,,1.11,3.91,2.33,1.01,4.28,4.26,1.98,0.56,2.68,1.62,0.44,1.51,,,
September,,,,,,,2.08,5.66,1.25,0.74,3.15,2.52,2.23,2.52,1.94,4.26,2.96,2.41,,,
October,,,,,,,2.64,3.31,4.54,3.94,1.27,0.82,5.03,1.43,1.54,2.86,2.29,2.88,,,
November,,,,,,,5.65,3.03,2.92,6.8,4.18,3.21,1.69,1.4,2.28,4.9,3.66,1.4,,,
December,,,,,,,0.42,2.55,2.66,5.66,2.7,1.01,0.62,0.51,5.38,2.97,1.66,3.85,,,
Total,,,,,,,29.58,36.14,30.41,26.61,29.71,26.02,25.63,19.33,22.58,31.19,30.91,34.55,,,
