HORSLEY-TOWERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ098530,Long,-0.427605,Lat,51.26559,Elevation,285,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,1.51,,2.66,,4.53,1.34,1.24,1.52,2.5,1.31,0.58,,,,,2.5,0.54,3.16,3.64,1.72,0.95,2.57,5.08,1.42,4.58,1.01,1.84,1.31,2.43,1.49,3.46,4.52,0.87,4.92,1.5,1.45,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,1.98,,1.88,,0.27,0.5,0.76,2.96,0.75,0,1.06,,,,,3,1.62,2.79,5.56,1.86,1.08,1.8,4.15,0.71,2.4,1.69,1.08,0.52,4.3,1.44,2.82,1.08,5.15,6.64,5.58,1.02,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,0.83,,1.55,,1.57,1.35,3.9,2.18,1.75,1.94,1.1,,,,,4.2,1.55,0.74,1.02,3.37,1.98,3.44,1.58,4.01,1.48,0.87,3.07,4.92,1.46,2.18,5.06,3.26,5.07,1.69,5.53,2.11,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,3.48,,1.83,,2.4,2.7,0.47,2.38,2.12,0.37,1.08,,,,,1.5,0.96,2.88,1.09,2.48,1.44,2.05,1.38,0.95,0.53,3.52,3.14,2.3,1.43,1.91,0.03,2.68,1.08,1.41,0.98,2.52,5.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,1.15,,0.82,,5.23,1.54,1.74,4.84,1.32,3.32,1.47,,,,,1.35,3.75,1.51,1.34,0.37,2.32,4.27,2.71,0.46,1.47,1.97,3.21,1.77,2.06,1.37,1.4,2.27,1.49,3.12,2.22,1.87,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,2.56,,1.48,,1.06,2.02,3.82,1.05,2.5,1.13,1.81,,,,,1.74,1.81,1.09,3.3,1.65,3.73,6.76,0.46,5,2.3,1.52,2.09,3.74,2.52,2.58,3.79,0.45,1.03,2.07,2.74,1.62,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,3.19,,1.48,,3.12,1.15,8.78,1.01,4.54,2.95,2.39,,,,,1.67,0.31,2.1,1.13,1.65,1.12,5.27,1.55,0.9,1.41,1.94,2.24,3.1,3.06,0.92,2.49,3.09,2.29,5.1,1.11,4.88,5.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,1.15,,1.72,,1.62,1.95,2.79,1.33,2.93,4.03,3.27,,,,,2.42,1.15,0.53,3.29,1.8,2.58,6.06,1.98,3.14,0.55,3.07,3.58,3,2.2,0.72,6.98,2.17,1.44,2.01,4.32,5.52,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,2.5,,2.35,,3.86,3.45,1.61,1.46,0.68,1.08,1.98,,,,,2.08,1.04,2.48,0.84,1.9,1.02,3.94,1.83,2.35,1.96,0.51,2.06,2.81,0.72,1.51,4.02,2.61,0.97,2.57,2.14,1.82,4.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,5.95,,1.8,,0.9,1.89,1.67,4.09,1.03,5.29,4.17,,,,,0.97,3.86,1.53,2.33,2.71,2.13,6.69,2.13,1.8,3.96,5.69,2.61,5.8,3.64,3.63,3.36,3.99,2.06,3.14,5.07,3.73,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,3.15,,1.48,,4.22,5.1,5.05,0.89,1.96,2.31,2.82,,,,,0.62,3.74,5.47,3.37,0.66,3.24,2.7,1.51,4.8,3.83,2.01,0.87,0.84,3.47,4.07,2.67,3.07,4.51,2.99,6.34,1.16,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,2.35,,2.5,,2.91,1.98,1.44,1.25,0.54,3,1.77,,,,,3.73,3.43,1.72,3.39,4.84,1.49,2.72,3.05,0.64,0.91,3.65,2.71,3.93,5.16,8.15,4.15,1.64,9.38,6.3,3.24,3.62,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,36.31,,29.8,,21.55,,31.69,24.97,33.27,24.96,22.62,26.73,23.5,,,,,25.78,23.76,26,30.3,25.01,23.08,48.27,27.41,26.18,25.38,27.45,28.5,34.04,32.45,29.97,40.23,30.83,35.34,41.96,40.77,31.32,34.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
