"HORSLEY TOWERS",,,,,,,,,,,,
Grid ref,TQ098530,Long,-0.427605,Lat,51.265590,,,,,,,
Station no,RR1593,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.64,1.72,0.95,2.57,5.08,1.42,4.58,1.01,1.84,1.31,,
February,5.56,1.86,1.08,1.80,4.15,0.71,2.40,1.69,1.08,0.52,,
March,1.02,3.37,1.98,3.44,1.58,4.01,1.48,0.87,3.07,4.92,,
April,1.09,2.48,1.44,2.05,1.38,0.95,0.53,3.52,3.14,2.30,,
May,1.34,0.37,2.32,4.27,2.71,0.46,1.47,1.97,3.21,1.77,,
June,3.30,1.65,3.73,6.76,0.46,5.00,2.30,1.52,2.09,3.74,,
July,1.13,1.65,1.12,5.27,1.55,0.90,1.41,1.94,2.24,3.10,,
August,3.29,1.80,2.58,6.06,1.98,3.14,0.55,3.07,3.58,3.00,,
September,0.84,1.90,1.02,3.94,1.83,2.35,1.96,0.51,2.06,2.81,,
October,2.33,2.71,2.13,6.69,2.13,1.80,3.96,5.69,2.61,5.80,,
November,3.37,0.66,3.24,2.70,1.51,4.80,3.83,2.01,0.87,0.84,,
December,3.39,4.84,1.49,2.72,3.05,0.64,0.91,3.65,2.71,3.93,,
Total,30.30,25.01,23.08,48.27,27.41,26.18,25.38,27.45,28.50,34.04,,
Calc annual,30.30,25.01,23.08,48.27,27.41,26.18,25.38,27.45,28.50,34.04,,
Difference,0.00,0.00,-0.00,0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,,
