"CARDIFF ROATH PARK",,,,,,,,,,,,
Grid ref,ST185792,Long,-3.175662,Lat,51.505832,,,,,,,
Station no,4090,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,3.17,,2.03,,
February,,,,,,,,1.76,,0.62,,
March,,,,,,,,1.98,,4.58,,
April,,,,,,,,4.17,,2.54,,
May,,,,,,,,3.25,,2.36,,
June,,,,,,,,4.47,,2.17,,
July,,,,,,,,2.98,,2.55,,
August,,,,,,,,3.43,,3.22,,
September,,,,,,,,1.02,,4.08,,
October,,,,,,,,7.16,,7.83,,
November,,,,,,,,3.51,,1.82,,
December,,,,,,,,7.53,,7.79,,
Total,,,,,,,,44.43,,41.59,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.43,0.00,41.59,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,0.00,,
