BURTON-ON-TRENT-HANBURY-HALL,,,,,,,,,,,,,,,,,,,,
Grid ref,SK171279,Long,-1.7475349,Lat,52.848334,Elevation,483,ft.,,,,,,,,,,,,
Station no,RR8052,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,1.04,4,1.14,1.09,1.3,2.25,0.76,4.89,4.44,,,,,,
February,,,,,,0.62,2.82,1.95,1.34,0.56,2.92,1.55,1.59,1.02,,,,,,
March,,,,,,2.78,1.85,1.25,2.73,3.36,0.58,1.55,3.67,4.34,,,,,,
April,,,,,,1.5,0.95,1.58,2.77,1.7,2.35,1.31,0.29,3.45,,,,,,
May,,,,,,0.56,2.69,4.29,3.88,1.58,2.48,0.51,2.76,2.23,,,,,,
June,,,,,,2.05,1.7,3.29,2.16,3.06,1.27,2.66,4.1,1.13,,,,,,
July,,,,,,2.22,1.12,3.84,2.64,3.16,3.1,0.44,3.33,,,,,,,
August,,,,,,4.78,1.09,3.11,3.96,2.14,3.72,1.67,6.86,,,,,,,
September,,,,,,1.79,1.4,0.9,2.16,3.01,0.43,1.67,1.06,,,,,,,
October,,,,,,1.57,5.09,4.88,1.53,3.76,2.62,2.13,3.07,,,,,,,
November,,,,,,2.75,2.82,2.59,1.65,0.68,4.78,2.46,2.5,,,,,,,
December,,,,,,1.05,2.6,3.04,1.91,5.53,5.19,4.86,3.43,,,,,,,
Total,,,,,,22.71,28.13,31.86,27.82,29.84,31.69,21.57,37.55,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Hanbury Hall. Altitudes match,,,,,,,,,,,,,,,,,,,,
