COATBRIDGE DUNBETH PUBLIC PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS743654,Long,-4.01015,Lat,55.865333,Elevation,325,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5182/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,2.34,1.13,5.67,3.61,4.4,2.7,3.83,3.44,6.34,3.2,2.47,4.27,3.96,1.4,4.27,2.21,2.14,4.73,3.19,1.27,2.73
February,,,,,,,,,4.51,1.36,3.25,1.48,4.01,1.39,5.73,2.75,1.2,3.24,4.01,3.95,2.32,1.18,1.28,2.91,1.68,1.73,2.46,2.5,1.37,2.63
March,,,,,,,,,3.07,3.74,2.99,1.83,1.83,0.67,2.59,2.11,2.9,2.77,1.8,3.67,3.2,2.05,0.89,2.26,1.68,2.93,3.31,1.21,1.4,1.85
April,,,,,,,,,1.71,2.58,1.64,1.84,2.55,2.12,1.82,1.23,4.62,2.86,3.03,3,2.28,1.83,2.04,1.44,1.23,0.99,1.42,1.47,2.61,2.33
May,,,,,,,,,0.98,1.06,4.46,2.59,4.47,2.74,3.81,1.5,3.2,1.62,1.82,1.21,1.8,1.51,1.78,3.2,2.98,1.94,2.66,2.96,0.85,2.52
June,,,,,,,,,2.45,1.06,0.83,1.27,3.89,2.72,4.68,2.98,2.97,5.9,0.94,2.14,3.25,2.11,1.22,2.59,1.65,3.22,2.9,3.24,2.73,1.98
July,,,,,,,,,4.16,5.24,3.45,2.67,2.5,2.32,3.18,3.86,2.29,3.34,2.39,4.56,3.5,2.31,3.82,3.15,1.2,5.19,3.54,5.18,5,3.74
August,,,,,,,,,1.37,2.19,4.95,3.41,5.11,3.78,2.34,3.64,0,6.16,4.35,3.98,5.55,3.32,2.75,5.4,1.37,5.17,4.13,5.03,0.71,2.3
September,,,,,,,,,2.46,3.8,0.98,4.02,1.91,4.91,4.6,6.78,3.84,5.8,1.26,8.55,3.01,2.09,2.74,4.28,2.88,4.09,2.61,4.17,1.15,2.24
October,,,,,,,,,2.03,3.25,2.94,5.36,5.87,4.54,4.48,0.52,1.44,4.74,5.42,2.45,1.01,2.97,1.63,9.63,2.87,2.76,2.87,2.67,4.05,2.79
November,,,,,,,,,6.01,4.08,2.6,0.83,2,6.97,0.61,4.94,4.82,2.62,3.57,2.81,6,2.29,5.48,5.78,1.61,1.42,2.05,1.72,4.65,4.69
December,,,,,,,,,1.44,4.18,1.88,3.12,1.4,4.45,2.86,2.77,2.8,4.32,7.29,2.09,4.84,3.22,4.07,4.86,5.61,4.26,3.23,4.52,4.36,4.17
Total,,,,,,,,,,34.88,31.1,34.09,39.15,41.01,39.4,36.91,33.52,49.71,39.08,40.88,41.03,28.84,29.1,49.77,26.97,35.84,35.91,37.86,30.15,33.97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Ja Deleted Estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5182/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,13601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,656919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
