"COATBRIDGE DUNBETH PUBLIC PARK",,,,,,,,,,,,
Grid ref,NS743654,Long,-4.010150,Lat,55.865333,,,,,,,
Station no,5182/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.27,3.96,1.40,4.27,2.21,2.14,4.73,3.19,1.27,2.73,,
February,2.32,1.18,1.28,2.91,1.68,1.73,2.46,2.50,1.37,2.63,,
March,3.20,2.05,0.89,2.26,1.68,2.93,3.31,1.21,1.40,1.85,,
April,2.28,1.83,2.04,1.44,1.23,0.99,1.42,1.47,2.61,2.33,,
May,1.80,1.51,1.78,3.20,2.98,1.94,2.66,2.96,0.85,2.52,,
June,3.25,2.11,1.22,2.59,1.65,3.22,2.90,3.24,2.73,1.98,,
July,3.50,2.31,3.82,3.15,1.20,5.19,3.54,5.18,5.00,3.74,,
August,5.55,3.32,2.75,5.40,1.37,5.17,4.13,5.03,0.71,2.30,,
September,3.01,2.09,2.74,4.28,2.88,4.09,2.61,4.17,1.15,2.24,,
October,1.01,2.97,1.63,9.63,2.87,2.76,2.87,2.67,4.05,2.79,,
November,6.00,2.29,5.48,5.78,1.61,1.42,2.05,1.72,4.65,4.69,,
December,4.84,3.22,4.07,4.86,5.61,4.26,3.23,4.52,4.36,4.17,,
Total,41.03,28.84,29.10,49.77,26.97,35.84,35.91,37.86,30.15,33.97,,
Calc annual,41.03,28.84,29.10,49.77,26.97,35.84,35.91,37.86,30.15,33.97,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
