PAISLEY (THORNLY PARK SCHOOL),,,,,,,,,,,,
Grid ref,NS487613,Long,-4.416555,Lat,55.821171,,,,,,,
Station no,5291/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.44,5.48,2.05,7.25,3.49,3.41,7.23,6.25,1.92,4.02,,
February,3.71,1.54,1.99,5.09,3.79,1.57,3.15,3.25,2.29,5.04,,
March,2.81,2.94,1.46,3.21,2.11,2.66,4.63,1.00,2.86,2.66,,
April,3.56,2.65,1.96,1.83,2.52,1.75,2.22,1.28,3.74,4.72,,
May,2.89,2.83,2.21,3.60,3.55,3.29,2.62,3.46,0.91,2.97,,
June,2.73,2.89,1.95,3.87,2.49,3.65,2.50,3.74,4.27,2.18,,
July,4.45,2.46,5.72,3.34,1.50,4.49,3.88,5.51,4.88,3.05,,
August,5.26,4.05,4.38,5.85,1.21,4.64,4.17,5.02,0.98,3.80,,
September,4.14,4.33,6.67,5.94,4.55,5.08,2.90,5.29,1.23,3.69,,
October,1.44,6.26,3.96,9.80,3.30,3.61,6.32,5.41,5.99,4.76,,
November,6.70,3.16,8.57,7.93,1.89,1.76,2.20,1.61,6.85,5.02,,
December,7.72,5.26,5.10,7.67,8.59,6.32,5.69,6.41,9.26,7.10,,
Total,51.85,43.85,46.02,65.38,38.99,42.23,47.51,48.23,45.18,49.01,,
Calc annual,51.85,43.85,46.02,65.38,38.99,42.23,47.51,48.23,45.18,49.01,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
