ST-AUSTELL-COSGARNE,,,,,,,,,,,,,,,,,,,,
Grid ref,SX006521,Long,-4.80243,Lat,50.33537,Elevation,194,ft,,,,,,,,,,,,
Station no,RR7246,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,9.65,6.21,5.63,9.04,1.37,7.96,3.83,8.11,1.33,2.54,3.4,,,,,,,
February,,,8.45,5.63,4.05,1.82,5.05,3.56,2.37,6.09,3.98,5.71,3.86,,,,,,,
March,,,4.71,5.05,1.91,1.54,5.51,4.16,2.36,1.43,3.31,5.38,,,,,,,,
April,,,4.36,0.7,2.72,2.58,3.75,5.02,3.99,3.36,3.11,1.74,,,,,,,,
May,,,2.98,2.62,1.27,3.16,0.26,5.66,5.53,2.15,1.15,1.2,,,,,,,,
June,,,3.5,2.34,1.78,3.66,1.51,2.15,3.43,8.34,2.54,4.48,,,,,,,,
July,,,2.73,3.89,1.67,3.28,1.31,5.02,1.54,5.04,4.59,3.43,,,,,,,,
August,,,2.14,5.47,4.34,2.74,5.28,7.75,6.66,6.4,0.36,4.85,,,,,,,,
September,,,4.4,3.03,7.28,7.26,6.18,3.17,4.59,3.76,3.8,2.35,,,,,,,,
October,,,7.42,3.56,4.75,9.09,4.65,3.15,7.52,2.04,8.28,3.67,,,,,,,,
November,,,8.04,4.95,5.4,8.05,6.17,7.96,6.61,1.38,4.52,5.37,,,,,,,,
December,,,7.79,1.28,9.61,2.45,11.79,4.08,5.55,1.58,6.5,5.82,,,,,,,,
Total,,,66.17,44.73,50.41,54.67,52.83,59.64,53.98,49.68,43.47,46.54,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1876 Gauge in good open position,,,,,,,,,,,,,,,,,,,,
