"OLDBURY (BARNFORD HILL PK)",,,,,,,,,,,,
Grid ref,SO997876,Long,-2.005847,Lat,52.486318,,,,,,,
Station no,2440,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.94,2.89,1.17,1.04,2.43,3.02,1.60,2.37,2.72,4.94,,
February,3.51,0.51,2.04,2.45,2.44,0.66,3.14,4.61,0.14,2.31,,
March,5.12,3.21,1.63,2.65,3.69,1.17,2.44,1.51,2.07,1.56,,
April,2.39,2.64,2.93,0.64,1.01,1.66,0.31,0.88,3.76,1.06,,
May,3.10,3.24,2.42,3.01,4.94,0.67,1.66,2.23,1.21,1.41,,
June,1.12,1.84,2.61,3.53,2.87,1.83,1.50,4.45,1.10,2.51,,
July,1.40,1.72,4.19,4.09,0.57,3.14,3.60,4.09,1.74,3.65,,
August,4.42,4.63,2.28,4.88,0.57,5.02,4.18,3.49,3.31,3.18,,
September,3.05,1.74,2.40,1.86,1.68,3.18,4.61,3.85,0.16,5.84,,
October,0.73,4.88,2.11,4.01,2.00,1.50,1.69,2.12,2.70,6.45,,
November,7.99,2.63,1.68,6.14,3.29,0.77,2.03,2.16,4.39,4.10,,
December,2.71,3.26,1.28,2.41,2.82,2.55,1.85,2.99,4.70,2.88,,
Total,38.48,33.19,26.74,36.71,28.31,25.17,28.61,34.75,28.00,39.89,,
Calc annual,38.48,33.19,26.74,36.71,28.31,25.17,28.61,34.75,28.00,39.89,,
Difference,-0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,-0.00,,
