DAER (CROOKBURN) NEW SITE,,,,,,,,,,
Grid ref,NS966056,Long,-3.631546,Lat,55.333538,Elevation,1163,ft,,
Station no,5162/2/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,7.4,7.33,5.66,11.15,10.26,4.2,8.26
February,,,,7.5,3.2,1.73,6.39,7.2,3.52,9.55
March,,,,5.8,2.95,4.55,7.39,3.02,7.52,3.5
April,,,,2,4.31,1.72,5.27,2.31,7.25,8.73
May,,,,7.2,6.13,4.23,4.53,5.88,2.18,3.31
June,,,,7.15,4.45,6.03,2.18,4.69,4.74,4.99
July,,,,7.25,2.96,7.72,6.05,5.84,7,5.6
August,,,,7.2,2.46,9.6,7.05,6.11,1.91,6.73
September,,,,11.69,6.87,7.61,5.81,8.27,2.35,5.35
October,,,,16.84,5.3,5.81,8.55,7.29,8.55,5.88
November,,,,16.54,4.7,3.84,3.31,3.17,14.53,14.58
December,,,,10.78,10.31,12.99,9.14,7.85,14.73,7.99
Total,,,,107.35,60.97,71.49,76.82,71.89,78.48,84.47
,,,,,,,,,,
1956 Np High,,,,,,,,,,
1957 Np High,,,,,,,,,,
1958 Np High,,,,,,,,,,
,,,,,,,,,,
Station no,5162/2/1,,,,,,,,,
Midas,13519,,,,,,,,,
Hyd Stn,649972,1,,,,,,,,
