DAER (CROOKBURN),,,,,,,,,,
Grid ref,NS966056,Long,-3.631546,Lat,55.333538,Elevation,1124,ft,,
Station no,5162/4,,,,,,,,,
,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,7.25,
February,,,,,,,,,8.87,
March,,,,,,,,7.01,,
April,,,,,,,,4.43,,
May,,,,,,,,2.64,,
June,,,,,,,,7.71,,
July,,,,,,,,3.78,,
August,,,,,,,,8.72,,
September,,,,,,,,7.35,,
October,,,,,,,,7.97,,
November,,,,,,,,5.72,,
December,,,,,,,,11.4,,
Total,,,,,,,,,,
,,,,,,,,,,
Station no,5162/4,,,,,,,,,
Midas,,,,,,,,,,
Hyd Stn,,,,,,,,,,
