BROMFIELD OAKLY PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO491762,Long,-2.749217,Lat,52.381456,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,4.63,3.62,2.11,1.12,3.07,3.22,0.64,4.37,1.47,0.83,1.1,2.3,0.71,3.46,3.68,0.81,3.31,0.97,1.4,2.98,3.4,3.65,2.75,4.04,1.62,3.24,2.48,4.08,3.6,4.31,1.58,5.9,1.93,3.8,1.83,2.77,0.75,3.74,3.48,3.43,4.74,3.27,3.5,3.48,5.88,2.39,1.54,3.05,3.04,5.71,1.61,0.77,2.64,3.02,0.56,2.36,3.07,3.49,2.11,2.68,3.22,5.5,,
February,,,,,,,,,1.65,4.28,4.19,1.04,1.17,2.49,4.31,1.34,1.93,1.5,1.34,0.81,3.49,1.78,1.67,1.57,2.99,4.75,4.88,1.01,1.83,2.68,1.3,0.41,3.58,6.82,0.51,4,2.63,2.85,2.2,0.57,0.85,2.16,0.1,3.42,0.3,2.58,2.45,4.54,0.52,1.36,2.56,3.13,0.6,1.68,1.27,1.91,2.73,1.37,1.86,1.08,5.18,3.21,0.65,1.86,2.86,1.69,0.71,3.02,5.69,0.47,3.43,,
March,,,,,,,,,0.67,1.13,1.11,2.96,1.41,4.26,1.23,3.74,1.11,1.11,3.03,2.75,0.88,1.63,4.84,5.02,3.17,0.58,3.49,2.67,1.4,5.26,3.46,1.86,3.22,1.67,1.14,0.97,0.51,3.48,2.18,0.13,2.75,0.44,2,1.88,1.92,0.87,2.24,2.33,0.17,1.41,1.42,2.49,1.66,0.81,0.42,1.31,0.73,6.36,1.29,1.68,1.64,4.2,2.28,1.34,2.44,3.51,1.03,2.42,1.75,2.39,2.21,,
April,,,,,,,,,1.88,2.44,1.37,2.21,2.14,1.74,1.2,2.64,0.89,2.03,2.94,2.31,2.11,1.29,0.11,4.23,1.48,1.24,1.09,2.49,2.01,1.88,5.07,1.47,2.71,2.69,3.85,2.29,2.56,1.48,1.54,0.66,3.39,3.36,3.67,0.99,2.16,4.95,2.24,1.7,0.13,1.5,2.97,1.23,1.85,1.14,1.62,1.12,1.89,2.67,1.7,2.05,2.02,2.04,1.97,3.02,0.45,1.26,1.24,0.06,0.44,3.3,1.48,,
May,,,,,,,,,3.47,2.21,2.69,0.85,2.26,3.69,2.32,0.71,2.32,2.93,3.72,1.31,1.55,1.63,2.25,2.19,1.33,2.4,3.23,3.59,3.52,0.46,2.31,1.05,0.83,1.4,6.81,3.6,2.82,1.17,0.87,2.99,2.82,4.85,5.02,1.08,1.36,1.3,0.8,1.65,1.81,1.1,2.03,2.9,4.57,3.02,0.81,4.1,2.55,2.85,2.82,3.1,0.93,2.5,2.5,2.29,3,4.49,0.54,2,2.64,0.99,1.81,,
June,,,,,,,,,1.74,2.22,3.11,1.95,3.48,2.9,1.1,2.42,1.93,3.03,1.93,3.35,2.41,2.42,3.99,1.22,2.42,0.92,1.3,2.92,0.86,0.6,2.74,0.4,0.97,0.28,2.83,0.15,1.83,3.82,3.61,2.63,1.19,4.74,0.94,2.14,1.1,3.47,3.72,0.42,1.91,1.36,0.73,2.35,0.49,1.77,1.21,3.7,2.94,1.56,2.52,0.68,1.72,0.5,1.45,1.62,3.85,4.29,2.03,2.13,4.23,2.39,2.09,,
July,,,,,,,,,1.04,1.03,2.95,2.45,2.09,2.35,2.59,1.94,0.76,3.12,2.34,2.28,2.2,0.69,2.43,0.89,4.06,6.56,1.3,2.27,3.67,2.31,4.93,0.63,3.81,3.07,4.87,2.49,2.22,2.38,1.15,1.85,3.62,4.94,2.87,1.77,1.07,0.39,4.16,2.38,2.93,4.49,3.79,2.22,1.03,1.66,1.96,3.44,3.38,2.92,1.17,1.09,4.15,2.38,0.83,3.38,1.95,0.46,3.89,2.84,4.36,2.14,2.99,,
August,,,,,,,,,1.84,0.61,3.82,1.36,5.65,4.66,2.46,5.78,1.41,2.54,4.3,1.39,4.74,1.52,6.77,1.61,2.69,3.46,2.16,6.66,1.38,2.79,1.28,3.35,2.33,2.55,2.91,3.12,2.56,5.07,3.32,1.08,3.04,4.95,2.44,1.37,2.57,1.7,1.16,0.78,4.49,2.08,0.19,3.03,2.57,2.28,2.77,4.55,6.33,0.85,3.49,1.39,3.75,3.21,5.45,2.69,4.82,0.68,4.77,6.66,2.87,1.51,4.27,,
September,,,,,,,,,1.32,1.7,0.99,2.07,1.54,3.6,2.08,1.36,0.85,0.49,2.27,3.12,0.65,1.93,0.83,2.24,0.98,1.08,1.29,1.42,5.22,1.97,2.61,0.71,2.63,1.85,3.66,3.58,1.06,3.75,1.71,0.9,3.33,1.81,,0.81,1.75,4.8,2.86,3.15,1.52,0.5,1.01,0.97,1.83,3.26,2.63,2.13,3.31,1.52,2.75,2,3.59,2.63,2.53,3.06,2.25,1.39,3.25,5.41,7.31,0.02,3.74,,
October,,,,,,,,,3.74,2.9,3.66,1.58,2.49,7.07,0.6,1.46,5.21,6.51,2.07,4.61,3.88,2.01,3.09,4.17,2.34,3.25,4.68,3.12,1.54,2,3.03,1.76,0.85,4.63,4.19,3.88,2.85,2.45,5.64,4.54,3.01,0.79,,5.01,1.62,2.91,1.57,3.54,3.23,3,3.82,2.04,1.92,3.45,4.19,3.98,0.79,0.42,2.54,5.67,1.51,0.92,4.18,2.32,3.89,1.8,2.22,1.69,3.24,2.98,6.11,,
November,,,,,,,,,1.97,2.7,2.8,1.2,2.91,1.89,1.36,3.42,2.98,2.64,1.75,0.7,4.53,3.35,2.2,2.97,3.6,2.68,2.8,2.06,2.1,1.41,1.11,2.56,1.35,1.87,2.36,2.23,6.96,3.97,4.2,6.65,2.88,6.42,,0.58,1.74,4.9,3.39,1.8,4.52,5.03,7.28,2.72,0.66,2.11,4.08,0.7,5.98,1.97,1.79,3.68,4.8,7.41,2.38,2.17,7.14,3.29,1.24,2.48,2.1,4.59,6,,
December,,,,,,,,,2.95,2.25,4.74,4.82,2.07,2.35,2.08,0.66,2.14,2.82,3.04,4.08,5.88,6.41,3.75,1.13,6.66,6.43,1.93,1.07,3.36,4.05,2.79,1.85,3.84,2.72,4.93,2.73,0.65,2.49,2.1,6.69,3.91,0.99,1.39,0.46,5.44,3.4,3.24,2.58,2.75,1.98,1.47,1.6,4.32,1.23,2.02,4,3.09,2.53,5.76,1.9,1.96,2.72,2.97,1.25,2.43,3.09,3.15,2.18,2.95,6.43,4.07,,
Total,,,,,,,,,,28.1,35.05,24.6,28.33,40.07,24.55,26.11,25.9,30.19,29.56,27.81,34.62,25.37,35.39,30.92,32.53,36.66,29.12,30.68,29.87,28.81,34.28,18.8,30.16,31.17,41.3,31.52,30.73,36.51,32.83,30.27,36.69,37.38,,21.34,23.8,32.02,31.57,28.35,27.41,28.55,30.54,28.18,24.98,28.29,25.37,32.48,36.77,28.06,33.4,25.93,32.02,34.36,30.21,25.56,37.44,29.02,27.56,33,40.26,30.43,43.7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The original record for 1932 includes readings that were estimated for Sep/Oct/Nov and the yearly total was also estimated based on site 2269, therefore removed from this record",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
