COVENTRY COUNDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP328780,Long,-1.519358,Lat,52.399038,Elevation,340,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,1.38,1.14,4.56,2.18,2.39,3.22,1.45,4.07,1.92,2.64,0.51,1.19,2.34,3.89,3.26,2.03,2.73,3.51,0.78,1.06,3.27,2.53,1.31,1.83,1.61,4.12,1.33,2.43,1.03,4.42,3.9,1.72,1.08,2.43,2.71,0.84,3.59,1.04,0.77,1.16,2.37,0.86,4.97,4.68,0.88,2.59,1.14,1.98,2.24,
February,2.24,1.49,2.41,1.18,1.99,0.98,3.52,1.73,1.74,3.33,3.25,4.69,1.72,3.5,1.87,3.25,0.86,0.54,0.9,2,0.71,0.19,0.9,3.59,2.66,0.14,0.53,3.59,1.49,2.83,4.83,1.95,2.05,1.21,3.42,0.96,2.64,1.04,1.04,0.69,2.52,1.38,2.17,1.02,1.46,3.4,3.84,1.17,1.56,
March,1.25,1.3,2.2,2.62,1.12,0.65,2.7,2.09,1.1,0.79,1.72,2.21,1.86,1.14,2.39,1.11,2.41,1.7,2.53,4.05,1.64,1.28,0.94,0.41,0.98,2.19,2.26,3.09,1.49,1.18,0.6,2.23,2.22,4.33,1.58,3.1,1.37,1.04,2.66,3.14,0.84,1.92,3.24,3.82,2.51,0.92,4.29,1.46,1.07,
April,0.82,2.79,2.84,0.65,1.64,1.37,2.96,2.81,2.21,2.87,1.56,0.66,3.78,1.23,2,2.46,1.86,0.94,2.02,3.57,1.49,2.59,0.79,0.43,1.91,2.16,1.03,2.18,2.36,2.82,1.53,2.46,2.22,1.62,1.15,1.64,0.46,1.9,3.78,1.6,1.78,0.83,0.17,3.7,1.43,0.97,0.99,1.24,2.56,
May,0.91,1.27,2.21,2.51,2.45,1.92,0.79,2.89,5.93,2.53,2.03,1.02,1.57,1.79,1.14,2.4,4.6,1.31,1.05,3.42,2.47,3.34,1.7,2.04,2.31,0.77,0.34,1.62,2.58,2.45,2.06,0.96,2.4,3.36,1.58,0.28,2.34,4.8,2.01,1.54,2.06,0.84,3.69,2.06,1.08,2.31,2.28,2.78,,
June,0.55,2.47,4.8,2.58,1.84,4.36,2.18,0.79,3.69,5.82,2.84,2.17,4.03,3.54,2.15,2.38,0.85,1.86,1.89,1.05,2.16,2.5,3.6,1.11,1.93,1.23,2.72,2.95,0.65,1.6,4.85,3.3,2.76,2.89,0.41,3.66,3.28,2.41,1.62,3.07,1.6,2.01,4.48,0.77,2.44,0.56,1.72,3.29,,
July,0.89,4.74,4.22,2.38,1.06,5.9,1.57,3.92,2.9,3.31,5.73,2.12,3.93,3.87,3.37,0.03,3.04,0.8,6.66,1.51,2.21,3.06,2.42,1.85,2.93,3.14,2.09,0.51,1.28,1.1,1.72,2.63,1.1,2.55,2.32,1.3,0.97,2.96,2.39,3.87,2.47,0.19,3.44,0.82,1.72,6.55,1.39,2.31,,
August,2.34,0.56,3.16,3.63,2.47,1.32,2.14,3.72,6.19,5.2,1.23,5.61,2.09,1.06,2.41,2.82,1.85,1.79,2.45,2.54,2.98,4.04,2.65,1.69,2.97,2.86,2.29,3.73,4.66,0.76,3.68,1.76,4.06,3.67,1.69,4.23,1.05,2.65,3.05,1.54,4.09,1.57,6.47,0.49,1.93,0.99,3.33,4.67,,
September,1.45,5.14,2.59,1.51,3.86,3.09,5.89,2.4,2.44,3.14,5.22,2.13,2.85,5.51,1.02,2.83,1.85,1.74,1.21,3.01,1.3,1.43,2.12,1.35,2.7,1,4.75,2.2,0.82,4.67,0.73,1.19,1.26,2.35,1.89,1.83,0.97,0.68,2.33,2.27,0.72,1.63,0.97,1.72,0.71,0.71,0.61,1.53,,
October,4.62,1.55,3.92,1.89,2.6,7.08,1.77,2.43,2.93,1.04,5.79,3.25,5.53,3,1.64,4.32,4.23,2.06,0.47,2.61,1.72,6.23,2.73,3.61,3.64,3.75,2.86,1.65,3.58,2.88,3.61,1.89,2.47,6.58,0.57,1.33,5,5.03,1.11,3.71,2.28,2.53,2.58,2.62,1.94,1.89,2.59,3.05,,
November,2.06,0.92,4.79,1.2,2.91,4.23,4,3.32,3.42,1.07,2.43,2.87,4.05,4.7,1.84,4,2.44,1.82,4.54,1.18,3.53,2.68,2.18,1.92,3.18,4.93,1.67,1.61,2.57,2.02,2.76,0.99,1.8,1.93,1.59,2.89,2.98,2.37,1.15,0.65,4.95,2.47,1.64,2.98,3.09,2.56,3.18,0.83,,
December,2.46,1.45,4.52,0.42,1.9,1.2,6.72,1.94,1.93,0.77,4.01,2.94,3.37,1.07,2.04,0.59,3.52,1.95,2.53,2.25,0.8,3.31,1.75,2.83,2.68,2.13,3.6,3.04,3.04,2.33,7.11,5.49,2.14,1.45,1.97,1.54,2.11,3.36,2.36,3.06,4.21,4.69,3.87,1.14,5.38,4.97,2.14,1.04,,
