WEST KILBRIDE SCHOOL,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS204485,Long,-4.8592592,Lat,55.696608,Elevation,200,ft,,,,,,,,,,,,,
Station no,5214,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,2.84,4.62,3.98,5.29,3.46,3.52,2.75,3.94,4.8,5.76,,
February,,,,,,,,,,3.49,0.18,3.44,0.04,2.86,0.46,4.71,2.03,5.88,2.21,,
March,,,,,,,,,,1.1,2.67,1.01,2.51,1.65,2.16,1.63,2.56,1.59,2.78,,
April,,,,,,,,,,1.85,2.09,1.57,3.07,1.71,2.92,3.28,1.38,2.28,0.24,,
May,,,,,,,,,,3.38,1.81,3.55,2.32,3,2.51,0.83,2.67,1.19,3.19,,
June,,,,,,,,,,3.11,2.61,4.4,1.75,2.21,2.32,3.31,1.57,3.38,4.54,,
July,,,,,,,,,,3.66,2.52,4,3.34,4.16,1.86,1.77,5.32,5.09,4.41,,
August,,,,,,,,,,5.4,4.37,1.64,2.77,3.81,4.31,1.92,3.38,3.65,2.22,,
September,,,,,,,,,,1.33,3.69,1.42,4.47,0.92,5.68,4.93,4.01,2.23,3.59,,
October,,,,,,,,,,5.11,6.31,3.4,5.19,3.4,7.26,8.88,4.45,2.38,8.12,,
November,,,,,,,,,,7.3,4.68,6.85,3.19,3.49,1.14,5.65,3.61,0.78,7.07,,
December,,,,,,,,,,9.63,5.3,3.43,6.66,1.54,6.94,4.16,6.19,3.23,3.15,,
Total,,,,,,,,,,48.2,40.85,38.69,40.6,32.21,41.08,43.82,41.11,36.48,47.28,,
