SANDGATE  (Shorncliffe Camp),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TR193352,Long,1.1291,Lat,51.074,Elevation,52,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920
January,,,,,2.4,2.96,1.29,2.61,0.92,2.26,3.49,0.65,1.47,2.48,3.08,1.21,2.78,0.54,1.63,1.09,2.93,1.91,2.49,2.94,1.01,3.2,,,,,
February,,,,,1.84,0.17,0.27,2.09,1.12,2.12,4.98,1.73,1.33,1.38,2.57,0.69,2.03,1.05,1.04,0.66,2.75,1.26,1.88,0.52,1.86,2.89,,,,,
March,,,,,1.14,1.89,2.93,3.61,2.64,0.7,1.38,2.03,0.94,1.8,1.38,3.54,2.25,0.88,1.55,3.16,1.48,2.5,3.14,2.14,4.13,0.83,,,,,
April,,,,,2.3,1.8,0.8,2.04,0.79,4.14,0.87,1.48,0.61,2.4,1.01,2.71,1.47,2.37,1.08,1.94,1.89,1.15,0.1,2.76,1.02,1.81,,,,,
May,,,,,3.3,0.15,0.18,0.9,4.28,1.84,1.29,0.53,1.8,2.63,1.69,1.13,1.78,2.33,0.86,0.75,2.78,0.78,0.47,0.65,0.76,2.23,,,,,
June,,,,,2.34,1.34,3.11,1.35,1.41,1.34,2.27,1.28,2.29,2.88,0.96,5.28,2.45,1.57,1.5,2.53,2.3,1.82,2.96,0.6,1.89,1.7,,,,,
July,,,,,4.74,3.18,1.14,0.44,0.86,1.13,1.87,1.14,1.26,4.02,0.99,0.97,0.85,1.8,2.88,2.61,2.27,0.17,1.16,1.96,1.4,3.59,,,,,
August,,,,,1.96,2.1,3.52,3.83,2.23,0.71,1.15,1.62,3.3,3.55,1.48,2.01,0.51,1.56,3.48,1.8,1.74,1.27,5.08,2.88,0.98,1.66,,,,,
September,,,,,3.55,0.63,5.73,2.65,0.55,2.99,0.64,1.03,1.04,2.03,1.69,2.92,1.84,0.46,1.5,3.23,0.53,1.31,2.13,1.88,0.8,2.73,,,,,
October,,,,,5.03,4.34,6.52,0.23,2.49,1.94,1.99,1.44,1.96,3.85,2.11,2.22,3.47,5.58,1.4,7.06,4.71,5.78,2.75,4.44,3,4.85,,,,,
November,,,,,2.04,4.4,2.49,1.79,2.07,2.01,3.89,0.69,2.18,2.82,1.18,4.64,5.91,1.32,1.29,1.06,5.74,4.54,1.63,3.49,2.84,4.12,,,,,
December,,,,1.58,1.87,2.98,4.01,3,2.03,2.27,2.23,4.32,2.88,2.14,2.56,0.57,2.52,2.02,3.01,4.58,2.82,4.6,2.08,2.34,6.58,6.47,,,,,
Total,,,,,32.51,25.94,31.99,24.54,21.39,23.45,26.05,17.94,21.06,31.98,20.7,27.89,27.86,21.48,21.22,30.47,31.94,27.09,25.87,26.6,26.27,36.08,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G moved 1 mile E Jan 1916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
