SKIDDAW,,,,,,,,,,,,,,,,,,,,
Grid ref,NY249279,Long,-3.1651458,Lat,54.640602,Elevation,1677,ft,,,,,,,,,,,,
Station no,RR2749,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,5.8,10.25,4.88,2.38,5.88,8.88,8.13,5.87,1.12,,,,
February,,,,,,,,6,3.75,8.12,4.75,5.5,4.25,0.37,3.25,1,,,,
March,,,,,,,,2.8,7.25,1.25,2.87,4.62,2.87,0.88,5,1.37,,,,
April,,,,,,,,5.9,5.38,0,1.65,2.13,4.75,0,1.63,,,,,
May,,,,,,,,3,1.37,0.25,2.25,1.87,3.25,5.75,2.12,,,,,
June,,,,,,,,2.3,1.25,3.5,2.25,1.63,3.75,3.75,2.38,,,,,
July,,,,,,,,9,1,3.75,2.75,1.87,4.13,5.87,0.63,,,,,
August,,,,,,,,3.9,7.25,2.25,3.25,5.13,5.37,7,2.62,,,,,
September,,,,,,,,3.9,3.75,11,5.13,5.27,5.25,3.38,8.5,,,,,
October,,,,,,,2.5,6.8,6.25,5.25,12.75,4.62,8.25,4.12,8.12,,,,,
November,,,,,,,6,2.1,3.5,7.75,3.87,2.25,6.63,3.75,-999,,,,,
December,,,,,,,4.9,5.1,10,6.5,1.38,11.38,7.12,3.38,-999,,,,,
Total,,,,,,,,56.6,61,54.5,45.28,52.15,64.5,46.38,53.62,,,,,
,,,,,,,,,,,,,,,,,,,,
1874 Nov/Dec bracketed 13.5,,,,,,,,,,,,,,,,,,,,
NGR approx,,,,,,,,,,,,,,,,,,,,
