"BONNINGTON RECTORY",,,,,,,,,,,,
Grid ref,TR053351,Long,0.929521,Lat,51.078482,,,,,,,
Station no,261/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.34,2.69,1.28,1.62,3.31,4.87,1.89,3.09,2.48,2.65,,
February,4.90,1.45,1.90,2.35,1.91,0.72,4.37,2.61,0.06,1.84,,
March,3.10,2.98,0.20,3.21,1.29,0.62,1.34,1.37,1.62,1.58,,
April,1.75,1.28,1.81,0.29,0.33,0.97,0.53,1.44,2.21,1.11,,
May,1.97,1.36,1.32,1.78,4.02,0.57,1.29,2.30,0.83,1.88,,
June,1.10,0.74,2.64,2.86,1.61,2.21,0.66,3.69,1.06,1.07,,
July,1.45,0.71,2.84,3.12,0.71,2.94,3.49,2.64,1.64,2.96,,
August,4.76,2.85,1.94,3.60,1.73,2.81,2.23,5.68,0.93,6.47,,
September,3.44,5.18,3.45,1.81,0.89,1.83,3.31,1.65,0.12,2.38,,
October,2.17,2.65,2.92,2.30,4.68,1.54,1.04,4.06,3.35,7.39,,
November,4.23,3.02,1.72,4.27,1.03,0.86,4.04,2.17,4.96,5.34,,
December,2.38,3.43,1.17,1.42,2.60,3.05,1.48,4.67,5.80,4.32,,
Total,34.59,28.34,23.19,28.63,24.11,22.99,25.67,35.37,25.06,38.99,,
Calc annual,34.59,28.34,23.19,28.63,24.11,22.99,25.67,35.37,25.06,38.99,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
