KENDAL HILL TOP,,,,,,,,,,,,,,,,,,,,
Grid ref,SD547912,Long,-2.6978252,Lat,54.314369,Elevation,545,ft,,,,,,,,,,,,
Station no,RR8223,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,4.18,8.57,4.27,5.29,2.15,5.24,,,,,
February,,,,,,,,,,3.53,0.87,0.75,1.8,7.97,9,,,,,
March,,,,,,,,,,3.85,5.43,2.28,1.19,1.71,4.29,,,,,
April,,,,,,,,,,2.11,1.87,1.51,1.84,0.8,1.92,,,,,
May,,,,,,,,,,4.38,2.68,2.22,6.9,3.16,3.86,,,,,
June,,,,,,,,,,0.58,4.1,1.47,4.06,1.24,3.47,,,,,
July,,,,,,,,,,3.51,4.68,3.63,2.43,4.31,3.35,,,,,
August,,,,,,,,,,6.08,5.29,12.19,10.38,5.15,4.97,,,,,
September,,,,,,,,,,2.37,5.47,7.18,10.21,6.24,0.41,,,,,
October,,,,,,,,,,5.71,3.52,4.95,5.54,6.29,4.69,,,,,
November,,,,,,,,,,3.2,6.6,4.84,4.97,2.59,5.96,,,,,
December,,,,,,,,,,4.68,0.39,9.7,3.22,5.02,6.73,,,,,
Total,,,,,,,,,,44.18,49.47,54.99,57.83,46.63,53.89,,,,,
