BLACK-MOUNTAINS-BLAEN-BWCH,,,,,,,,,,
Grid ref,SO237328,Long,-3.1125328,Lat,51.988392,Elevation,1525,ft.,,
Station no,4207/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,8.67,
February,,,,,,,,,0.36,10.96
March,,,,,,,,,5.59,5.63
April,,,,,,,,,6.15,5.62
May,,,,,,,,,4.8,2.15
June,,,,,,,,,2.88,2.67
July,,,,,,,,3.77,4.33,5.62
August,,,,,,,,3.95,1.42,3.85
September,,,,,,,,8.88,0.52,
October,,,,,,,,5.88,5.6,14.83
November,,,,,,,,2.75,9.07,13.44
December,,,,,,,,5.8,15.58,7.79
Total,,,,,,,,,64.97,
,,,,,,,,,,
MIDAS src_id 10671 BLAEN-BWCH Start 1958 end 2009,,,,,,,,,,
"NGR is Blaen Bwch. Altitudes match. 1950s record has an NGR of SO238328, 100m E, but is too high",,,,,,,,,,
