BIRMINGHAM HAGLEY ROAD,,,,,,,,,,
Grid ref,SP025861,Long,-1.9646241,Lat,52.472828,Elevation,612,ft,,
Station no,RR8270,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,2.34,1.01,4.81,4.21,1.03,3,1.35,1.94,2.69,4.07
February,3.51,1.56,1.77,0.85,2.34,4.48,4.97,1.11,1.63,3.79
March,0.71,1.89,4.58,5.57,2.49,1.03,4.15,2.14,1.55,4.3
April,2.13,1.02,0.28,3.98,1.21,1.26,1.28,2.03,2.89,1.96
May,1.82,0.85,2.46,2.49,1.4,2.14,2.49,4.14,2.63,0.92
June,1.78,2.29,5.42,1.61,2.97,1.75,1.53,3.28,1.26,1.33
July,3.13,0.25,3.19,1.66,4.28,6.22,1.94,2.23,2.72,
August,5.51,1.6,7.2,1.2,2.12,1.73,2.8,5.32,2.04,
September,0.96,1.66,0.85,2.04,1.14,0.77,1.56,2.38,7.37,
October,2.67,2.13,2.66,3.32,2.01,2.25,4,3.38,1.41,
November,4.37,3.09,2.43,2.63,4.11,2.66,3.91,1.89,2.25,
December,5.9,6.03,3.75,1.3,7.05,5.49,2.66,1.77,3.61,
Total,34.83,23.38,39.4,30.86,32.15,32.78,32.64,31.61,32.05,
