WOKING-GOLDSWORTH-ROAD-DEPOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU997585,Long,-0.57049,Lat,51.31748,Elevation,96,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,221/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,2.06,1.66,2.01,0.95,4.86,4.92,2.78,4.74,2.9,2.67,2.68,5.15,1.79,1.69,2.07,1.74,4.33,0.87,0.72,3.01,2.07,0.84,1.15,2.49,3.91,1.63,2.34,2.25,2.48
February,,0.23,3.37,0.19,2.63,1.7,4.08,0.46,1.2,1.95,2.09,0.41,1.52,0.73,1.74,2.59,1.25,1.19,1.1,4.29,6.15,0.76,1.34,2.4,1.56,0.25,3.43,2.44,0.07,2.24
March,,1.36,2.78,2.45,0.25,1.49,3.39,0.23,1.02,3.4,3.54,1.77,0.4,0.19,0.66,1.34,4.97,0.71,1.11,0.99,3.91,2.57,0.46,2.33,1,0.63,1.35,1.59,2.86,1.48
April,,2.24,0.83,1.81,3.47,1.86,2.25,0.05,2.5,1.89,1.31,1.34,1.11,1.06,1.15,1.58,1.81,1.55,2.27,2.85,2.56,1.67,2.34,0.3,0.23,1.09,0.26,1.11,2.03,0.65
May,,3.82,3.09,0.6,1.35,0.86,2.2,1.42,1.55,1.07,1.94,3.12,2.64,0.94,1.44,3.4,1.36,2.28,1.74,1.54,2.46,2.24,1.81,2.58,3.4,0.3,1.28,2.78,0.7,1.7
June,,0.93,1.36,1.31,3,2.87,1.91,0.44,1.4,0.84,2.53,1.37,1.43,2.47,2.26,2.83,2.58,3.05,0.66,1.06,0.94,2.18,1.55,3.65,2.48,1.88,0.94,3.47,0.85,1.79
July,,3,1.43,2.91,1.68,3.8,0.99,1.11,2.5,2.43,4.51,1.49,2.23,1.71,4.41,2.18,3.29,0.89,0.6,4.04,1.65,0.56,4.03,2.65,0.31,3.53,2.86,1.18,2.1,3.15
August,,0.8,0.74,2.08,3.46,1.31,1.23,2.24,1.99,0.09,5.48,2.9,1.62,1.93,1.2,4.03,0.43,2.75,1.34,3.16,3.55,2.91,1.71,3.05,1.68,4.06,2.76,3.91,1.68,2.92
September,1.73,2.12,2.29,1.43,3.68,2.71,1.94,1.6,0.43,1.45,0.28,1.12,2.02,1.95,2.24,3.28,1.01,1.39,0.66,2.78,2.01,3.72,2.12,2.11,1.31,2.43,3.05,3.87,0.2,2.54
October,0.63,4.71,1.89,1.65,3.49,2.58,3.06,2.59,6.32,3.22,1.46,3.53,2.67,3.74,3.22,0.98,0.25,2.1,6.25,0.43,0.57,2.91,2.97,2.1,3.35,1.95,1.67,2.59,2.82,7
November,2.97,1.24,0.99,2.32,5.45,3.18,1.84,3.8,5.45,7.23,3.33,1.92,1.33,3.93,0.25,4.9,1.02,1.74,2.52,5.37,7.04,3.32,1.67,4.75,1.56,0.65,2.75,2.2,3.1,4.37
December,0.56,0.35,0.42,6,2.81,2.59,4.45,3.4,1.05,1.59,1.78,3.26,1.38,1.94,3.56,2.72,2.94,3.23,1.37,1.76,2.19,2.74,0.72,2.62,2.43,3.58,2.24,2.95,4.49,2.71
Total,,22.86,20.85,24.76,32.22,29.81,32.26,20.12,30.15,28.06,30.92,24.91,23.5,22.38,23.82,31.9,22.65,25.21,20.49,28.99,36.04,27.65,21.56,29.69,21.8,24.26,24.22,30.43,23.15,33.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955 Jan 14 Inspection Gauge sound but height above ground 2ft 6in Site otherwise satisfactory Recommend lower gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 June Gauge re-sited but no protection fence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC_ID 6466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
