WOKING-GOLDSWORTH-ROAD-DEPOT-(NURSERY),,,,,,,,,,,,,,,,,,,,,
Grid ref,SU990582,Long,-0.58038,Lat,51.31492,Elevation,110,ft,,,,,,,,,,,,,
Station no,221,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,,1.47,2.8,1.87,,0.81,4.68,4.66,2.7,5.13,
February,,,,,,,,,,,,1.41,0.17,3.62,0.14,2.89,1.83,3.98,0.53,1.26,
March,,,,,,,,,,,1.26,0.24,1.39,2.63,2.22,0.23,1.58,3.38,0.16,1.04,
April,,,,,,,,,,,1.66,3.69,2.07,0.8,1.78,2.82,1.61,2.17,0.07,2.6,
May,,,,,,,,,,,2.1,3.04,4.31,3.25,0.61,1.51,0.71,2.16,1.34,1.13,
June,,,,,,,,,,,2.17,1.82,0.96,1.31,1.23,2.78,3,2.29,0.74,1.43,
July,,,,,,,,,,,1.49,3.71,3.03,1.34,3.27,,3.92,0.8,,2.37,
August,,,,,,,,,,,2.62,6.66,0.72,0.68,2.2,3.2,1.64,1.2,2.39,2.35,
September,,,,,,,,,,,2.94,1.72,2.09,2.42,1.55,3.6,2.63,1.92,1.6,0.2,
October,,,,,,,,,,,1.5,0.58,4.6,1.86,1.8,3.74,2.43,2.7,2.53,5.3,
November,,,,,,,,,,,4.3,2.98,,0.89,2.92,4.89,3.05,1.75,3.2,4.7,
December,,,,,,,,,,,2.24,0.64,0.42,0.38,5.61,2.84,2.37,4.33,3.4,1.05,
Total,,,,,,,,,,,,27.96,,21.05,,,29.45,31.34,,28.56,
,,,,,,,,,,,,,,,,,,,,,
Distances and altitude suggests Goldsworth Nursery (next to Goldsworth House),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1930 Jan Feb Estimated from nearby stations,,,,,,,,,,,,,,,,,,,,,
1932 Nov Estimated,,,,,,,,,,,,,,,,,,,,,
1934 Jan Estimated,,,,,,,,,,,,,,,,,,,,,
1935 July Estimated from nearby stations,,,,,,,,,,,,,,,,,,,,,
1938 July Estimated,,,,,,,,,,,,,,,,,,,,,
1940 Station terminated,,,,,,,,,,,,,,,,,,,,,
