SALCOMBE-SPRINGFIELD,,,,,,,,,,,,,,,,,,,,
Grid ref,SX738389,Long,-3.76996,Lat,50.23712,Elevation,125,ft,,,,,,,,,,,,
Station no,RR7439,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,3.48,1.62,3.84,4.99,1.84,6,1.35,1.46,2.3,5.01,1.32,4.37,8.11,1.28,4.15,,,,
February,,1.64,2.04,3.08,6.44,0.69,4.7,1.6,2.26,0.61,5.85,2.22,4.11,1.21,4.6,6,,,,
March,,3.83,2.55,3.78,2.63,5.26,1.59,1.02,3.73,6.12,0.84,3.6,5.41,4.77,7.01,1.04,,,,
April,,5,2.06,2.52,1.3,2.87,0.95,5.67,2.46,1.77,1.45,1.57,0.26,3.67,1.35,1.26,,,,
May,,1.02,2.35,1.52,3.32,0.26,3.3,3.56,1.79,1.2,2.41,0.74,2.38,2.62,1.61,3.54,,,,
June,,1.52,2.74,1.46,1.12,3.97,1.39,1.75,0.83,3.35,1.45,1.66,4.76,0.9,0.87,2.16,,,,
July,,1.51,2.03,3.04,5.94,0.59,1.42,2.15,2.04,2.72,3.06,0.9,3.09,1.2,3.32,3.71,,,,
August,,1.6,3.04,3.73,2.74,4.03,1.43,1.86,2.16,2.34,3.46,0.76,7.55,1.09,2.45,1.17,,,,
September,,4.36,2.5,3.6,2.39,2.81,1.1,1.6,3.04,1.68,0.23,2.17,1.34,2.43,3.52,1.25,,,,
October,,2.71,5.03,6.54,3.06,2.24,4.7,8.79,2.08,8.25,7.37,4.81,4.99,2.74,3.65,4.98,,,,
November,,0.64,4.6,2.08,1.88,4.27,3.69,4.57,1.42,1.37,5.33,4.49,2.85,4.12,4.55,2.9,,,,
December,,7.75,3.16,5.29,3.88,1.79,2.78,6.92,6.81,5.82,6.29,9.15,6.14,3.07,8.96,8.87,,,,
Total,,35.06,33.72,40.48,39.69,30.62,33.05,40.84,30.08,37.53,42.75,33.39,47.25,35.93,43.17,41.03,,,,
,,,,,,,,,,,,,,,,,,,,
Springfield Devon Road Salcombe,,,,,,,,,,,,,,,,,,,,
Note says gauge situated about 200 or 300 yds E of The Park gauge and about 100ft higher,,,,,,,,,,,,,,,,,,,,
But to be higher it would need to be W of the Park which is where Springfield is marked on the map,,,,,,,,,,,,,,,,,,,,
1912 Aug 22 Inspection Gauge tested and found correct Exposure poor being too much sheltered,,,,,,,,,,,,,,,,,,,,
