HEMINGFORD-GREY-SCHOOL,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL298707,Long,-0.097087056,Lat,52.319063,Elevation,25,ft,,,,,,,,,,,,,
Station no,1153,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,3.52,1.39,2.01,1.37,,,,,,,,,
February,,,,,,,,,0.85,0.85,0.66,2.4,,,,,,,,,
March,,,,,,,,,1.16,0.11,1.26,0.19,,,,,,,,,
April,,,,,,,,,0.89,1.28,2.03,2.44,,,,,,,,,
May,,,,,,,,,2.12,0.96,2.9,2,,,,,,,,,
June,,,,,,,,,2.33,1.23,0.36,0.89,,,,,,,,,
July,,,,,,,,,1.94,1.38,3.14,3.11,,,,,,,,,
August,,,,,,,,,1.53,0.42,2.32,,,,,,,,,,
September,,,,,,,,,0.65,0.28,3.26,,,,,,,,,,
October,,,,,,,,,2.4,2.99,0.81,,,,,,,,,,
November,,,,,,,,,1.84,3.47,2.96,,,,,,,,,,
December,,,,,,,,,2.12,2.79,1.82,,,,,,,,,,
Total,,,,,,,,,21.35,17.15,23.53,,,,,,,,,,
