"OSBORNE",,,,,,,,,,,,
Grid ref,SZ513947,Long,-1.274203,Lat,50.749643,,,,,,,
Station no,610,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.64,3.61,1.26,1.92,4.04,4.98,2.73,4.55,3.58,4.68,,
February,7.66,0.87,1.33,3.22,2.05,0.23,4.72,2.95,0.17,3.15,,
March,5.18,3.47,0.41,4.07,1.17,0.49,1.90,1.20,2.59,2.34,,
April,3.57,2.35,1.49,0.36,0.54,2.08,0.06,0.56,2.61,1.10,,
May,2.79,2.42,2.90,2.36,3.51,0.29,0.98,2.82,0.58,1.94,,
June,1.69,1.70,4.62,3.51,2.69,2.25,1.39,3.77,0.78,1.83,,
July,3.61,0.60,3.66,4.02,0.78,2.90,4.28,1.98,1.77,3.51,,
August,5.52,2.40,2.00,2.55,1.59,3.29,2.69,4.09,2.05,5.25,,
September,3.72,6.24,3.30,3.37,2.09,3.78,3.36,5.12,0.18,6.14,,
October,1.48,4.31,3.76,2.83,3.08,1.43,2.48,3.45,3.23,8.11,,
November,12.29,5.12,2.60,6.37,2.53,0.69,3.22,2.64,4.55,6.91,,
December,3.97,3.01,0.79,3.51,4.91,5.32,2.64,3.88,8.95,4.93,,
Total,56.12,36.10,28.12,38.09,28.98,27.73,30.45,37.01,31.04,49.89,,
Calc annual,56.12,36.10,28.12,38.09,28.98,27.73,30.45,37.01,31.04,49.89,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
