LYNSTED-THE-BATTERIES,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ941613,Long,0.78399001,Lat,51.317689,Elevation,140,ft,,,,,,,,,,,,
Station no,RR8335,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,0.57,0.89,2.33,2.05,0.44,2.37,,,,,,
February,,,,,,,,,1.73,2.37,0.82,0.2,2.06,3.9,,,,,,
March,,,,,,,,,3.39,1.81,2.34,2.95,2.23,0.44,,,,,,
April,,,,,,,,,1.24,2.38,2.88,0.58,1.74,0,,,,,,
May,,,,,,,,,0.61,2.16,1.52,2.87,0.52,1.15,,,,,,
June,,,,,,,,,2.85,1.79,2.01,2.49,3.12,0.78,,,,,,
July,,,,,,,,,4.8,1.93,4.79,3.87,2.17,3.17,,,,,,
August,,,,,,,,,1.64,2.12,3.38,3.18,4.92,1.09,,,,,,
September,,,,,,,,,0.78,1.72,1.07,0.41,1.93,1.88,,,,,,
October,,,,,,,,,1.65,6.39,1.02,5.32,7.67,3.23,,,,,,
November,,,,,,,,,4.21,1.14,3.08,1.81,2.45,3.23,,,,,,
December,,,,,,,,,1.58,1.43,0.84,3.06,1.59,2.59,,,,,,
Total,,,,,,,,,25.05,26.13,26.08,28.79,30.84,23.83,,,,,,
