PULBOROUGH-NUTBOURNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ075187,Long,-0.47076865,Lat,50.957711,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,1.69,2.56,4.8,4.47,2.13,4.16,1.16,4.26,2.51,,2.8,2.59,0.83,6.65,6.52,,5.56,2.72,3.12,3.04,6.87,,,,,,,
February,,,,5.27,0.61,4.11,2.71,3.87,1.91,0.95,1.06,2.16,0.44,4.52,0.09,4.13,2.22,4.51,0.49,1.59,3.26,4.09,0.8,2.42,,,,,,,
March,,,,3.49,2.09,0.38,0.26,3.67,1.95,0,1.45,0.61,1.4,3.07,,0.52,2.08,5.28,0.41,1.42,3.47,3.21,2.38,0.34,,,,,,,
April,,,,3.55,2.95,3.31,2.74,1.69,2.76,0.77,2.27,3.43,2.54,0.71,3.01,3.86,2.05,2.77,0.1,2.96,1.58,1.57,1.74,1.37,,,,,,,
May,,,,3.85,3.59,3.52,2.4,2.22,1.1,2.4,1.72,3.06,3.77,1.77,0.7,0.61,0.36,2.87,1.84,1.41,1.13,1.74,3.29,3.21,,,,,,,
June,,,,0.56,2.95,0.12,3.3,4.77,1.85,1.77,0.58,1.33,1.67,1.38,,3.46,2.81,0.74,0.75,1.81,0.66,2.13,0.33,1.3,,,,,,,
July,,,,1.51,2.92,4.03,1.95,2.05,2.33,2.14,2.29,3.05,3.2,2.42,,0.84,4.32,1.59,,3.13,1.78,2.77,1.71,1.96,,,,,,,
August,,,,2.22,3.86,3.37,2.27,4.94,2.96,2.65,3.01,4.37,0.51,1,,3.02,0.69,1.5,1,2.92,0.18,3.99,3.05,1.49,,,,,,,
September,,,,1.88,4.91,2.38,0.22,5.5,0.97,0.78,2.69,1.64,1.85,3.06,,3.24,1.83,1.69,1.94,1.25,1.44,0.41,2.45,1.46,,,,,,,
October,,,,6.73,3.7,3.33,3.18,3.02,,4.68,2.27,0.52,7.46,2.13,2.38,5.4,1.01,2.83,,5.84,4.59,0.84,4.41,3.63,,,,,,,
November,,,,1.85,2.58,4.11,7.05,3.39,3.24,7.75,5.35,4.19,1.64,0.99,4.32,7.96,5,1.04,4.8,6.03,9.76,4.18,1.69,1.6,,,,,,,
December,,,3.89,3.14,5.51,4.59,0.32,4.14,3.93,7.56,3.28,,1.02,0.96,10.11,4.75,3.43,4,4.9,2.45,1.74,2.48,3.37,2.1,,,,,,,
Total,,,,35.74,38.23,38.05,30.87,41.39,,32.61,30.23,,,24.81,,38.62,32.45,35.34,,36.37,32.31,30.53,28.26,27.75,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928 Oct estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 Dec estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932 Jan estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934 Mar Jun-Sep estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 Jan Jul Oct estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
