NEW ABBEY ST. MARY'S,,,,,,,,,,,,,,,,,,,,
Grid ref,NX964661,Long,-3.6202462,Lat,54.978695,Elevation,54,ft,,,,,,,,,,,,
Station no,RR4212,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,8,6.6,7.98,2.06,8.19,5.04,-999,0.63,-999,3.36,,,,,,,
February,,,,0.4,2.06,1.07,4.76,3.88,3.34,-999,5.07,-999,3.65,,,,,,,
March,,,,3.27,5.04,1.26,4.25,1.58,1.08,-999,2.2,4.5,5.25,,,,,,,
April,,,,0.65,4.36,1.21,3.5,4.18,1.36,2.49,3.71,1.23,1.72,,,,,,,
May,,,,2.32,0.91,1.68,0.4,3.42,3.72,1.98,1.55,3.91,0.57,,,,,,,
June,,,,1.85,1.47,3.34,4.41,2.91,2.58,6.46,1.58,5.59,1.83,,,,,,,
July,,,,8.2,2.34,2.55,1.77,5.19,1.41,5.39,4.04,3.17,4.71,,,,,,,
August,,,,9.2,6.61,1.68,4.11,8.09,4.08,5.36,0.49,6.42,1.84,,,,,,,
September,,,,3.1,4.63,5.86,3.93,2.82,4.83,6.27,2.7,2.78,1.09,,,,,,,
October,,,,6.52,10.85,5.22,5.99,8.63,5.43,2.5,1.7,2.34,2.28,,,,,,,
November,,,,3.71,6.54,5.27,4.1,9.69,2.8,1.52,5.56,6.86,1.18,,,,,,,
December,,,,2.84,2.42,4.35,9.08,4.67,1,4.27,2.77,4.54,1.9,,,,,,,
Total,,,,50.06,53.83,41.47,48.36,63.25,36.67,42.34,32,48.13,29.38,92,,,,,,
,,,,,,,,,,,,,,,,,,,,
1879 Jan/Feb/March bracketed,,,,,,,,,,,,,,,,,,,,
1881 Jan/Feb bracketed,,,,,,,,,,,,,,,,,,,,
1883 total only,,,,,,,,,,,,,,,,,,,,
