TUNBRIDGE-WELLS-CAMDEN-PARK,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ592390,Long,0.27374278,Lat,51.128158,Elevation,424,ft,,,,,,,,,,,,
Station no,RR6947,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,3.49,3.04,4,2.63,0.79,1.1,4.04,2.92,0.97,2.62,4.72,2.71,0.87,2.38,0.69,
February,,,,,1.95,3.79,0.44,0.67,2.29,2.5,1.24,0.12,1.89,4.1,1.95,0.62,0.33,2.59,1.39,
March,,,,,2.22,1.85,2.18,1.97,4.26,2.56,2.85,2.38,1.8,0.52,1.6,1.88,3.22,4.79,1.96,
April,,,,,1.17,1.92,2.15,1.86,1.9,3.07,2.67,0.5,1.58,0.05,2.26,1.97,0.69,2.03,1.13,
May,,,,,0.89,3.43,3.25,2.27,1.24,1.5,1.76,3.93,1.28,0.63,1.38,0.08,0.33,1.44,3.85,
June,,,,,1.45,1.04,0.67,0.79,3.26,2.38,2.46,2.28,3.06,1.03,2.42,0.28,3.58,1.89,1.92,
July,,,,,1.61,0.29,2.36,0.86,3.94,3.1,3.35,3.54,1.92,3.65,4.18,2.95,0.81,0.41,0.49,
August,,,,,0.84,0.65,2.2,2.49,2.83,2.75,2.56,4.59,3.18,0.77,2.49,2.1,2.78,2.84,1.62,
September,,,,,4.3,4.84,1.42,3.48,0.9,1.25,0.91,1.12,2.59,3.03,3.41,0.56,6.71,2.87,0.53,
October,,,,,1.4,4.08,3.45,1.7,1.7,7.02,1.46,9.29,6.16,4.53,4.85,3.23,4.87,0.32,3.34,
November,,,,,1.04,3.83,3.71,5.83,4.85,1.54,4.03,3.09,2.97,2.69,6.04,5.57,1.7,1.42,3.61,
December,,,,,4.09,1.27,5.68,2.52,2.5,2.15,0.81,4.24,2.03,3.01,2.31,4.09,4.5,4.22,3.15,
Total,,,,,24.45,30.03,31.51,27.07,30.46,30.92,28.14,38,29.43,26.63,37.61,26.04,30.39,27.2,23.68,
