"BALLINDALLOCK",,,,,,,,,,,,
Grid ref,NJ185369,Long,-3.358416,Lat,57.415137,,,,,,,
Station no,5671,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.47,3.60,2.36,2.32,1.67,3.35,2.30,3.68,3.94,3.50,,
February,3.56,2.57,1.99,1.38,4.92,2.48,1.73,4.80,0.56,2.78,,
March,2.65,2.14,0.77,1.70,1.75,0.94,2.53,2.71,0.72,1.16,,
April,5.10,1.69,3.42,1.06,1.19,1.69,1.33,2.31,1.42,1.71,,
May,1.15,1.95,2.27,5.64,3.52,0.67,3.20,3.53,0.95,0.49,,
June,3.22,2.40,3.67,3.27,1.61,2.71,3.45,2.60,2.38,2.56,,
July,3.92,1.76,6.89,5.01,0.52,5.79,7.21,5.66,2.42,2.77,,
August,3.99,3.36,1.99,2.57,2.29,5.72,5.36,3.32,0.94,8.35,,
September,0.74,3.84,3.00,3.26,1.99,3.67,2.14,1.40,0.82,2.41,,
October,1.33,3.32,0.91,5.31,5.13,3.82,1.62,2.07,3.98,5.20,,
November,5.45,4.28,1.71,3.15,0.93,2.41,3.83,1.09,4.68,2.20,,
December,2.41,5.25,3.24,7.02,5.95,2.90,3.68,3.08,2.57,1.61,,
Total,36.99,36.16,32.22,41.69,31.47,36.15,38.38,36.25,25.38,34.74,,
Calc annual,36.99,36.16,32.22,41.69,31.47,36.15,38.38,36.25,25.38,34.74,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
