CHERRY BURTON,,,,,,,,,,,,,,
Grid ref,SE994421,Long,-0.490,Lat,53.866,Elevation,110,ft,,,,,,
Station no,RR4746,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,3.37,2.03,,,,,,,,5.21,0.71,2.21,0.79,2.46
February,0.80,0.59,,,,,,,,0.47,0.82,2.52,1.99,1.33
March,3.61,1.50,,,,,,,,2.47,2.35,3.23,1.32,1.88
April,1.92,1.28,,,,,,,,1.53,1.22,2.00,3.16,1.81
May,4.57,2.08,,,,,,,,0.57,0.72,1.05,2.39,3.60
June,0.61,0.04,,,,,,,,2.97,2.36,2.50,1.73,1.27
July,2.87,1.48,,,,,,,,5.52,1.35,0.26,0.46,2.01
August,2.02,1.90,,,,,,,,2.33,1.20,3.45,3.34,0.72
September,1.05,3.17,,,,,,,,1.45,4.24,2.99,0.41,3.09
October,2.94,3.26,,,,,,,,3.67,5.47,1.75,4.41,2.52
November,1.85,2.42,,,,,,,,2.83,1.76,3.14,2.65,1.39
December,3.95,1.65,,,,,,,,2.56,4.20,2.20,2.51,3.17
Total,29.56,21.40,,,,,,,,31.58,26.40,27.30,25.16,25.25
,,,,,,,,,,,,,,
TYRain_1880-1889_11_pt1/022,,,,,,,,,,,,,,
TYRain_1890-1899_17_pt1/124,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
# May be two separate locations in Cherry Burton. The 1890s location is Cherry Burton House.,,,,,,,,,,,,,,
