BROUGHTY FERRY CORONA GARDENS,,,,,,,,,,,,
Grid ref,NO453314,Long,-2.889485,Lat,56.471536,,,,,,,
Station no,RR8825,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.77,,,,,,,,,,,
February,3.48,,,,,,,,,,,
March,1.54,,,,,,,,,,,
April,1.55,,,,,,,,,,,
May,1.76,,,,,,,,,,,
June,1.69,,,,,,,,,,,
July,3.57,,,,,,,,,,,
August,3.14,,,,,,,,,,,
September,2.45,,,,,,,,,,,
October,2.97,,,,,,,,,,,
November,5.00,,,,,,,,,,,
December,3.52,,,,,,,,,,,
Total,34.44,,,,,,,,,,,
Calc annual,34.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
