NEWCASTLE-MADELEY-VILLAGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ771444,Long,-2.34264,Lat,52.996431,Elevation,348,ft.,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,3.05,1.71,0.59,3.57,2.12,2.9,1.72,2.67,,,,,
February,,,,,,,,0.71,1.51,2.25,0.62,0.08,1.75,3.08,2.32,,,,,
March,,,,,,,,1.61,2.87,3.17,1.8,1.57,1.14,0.55,1.54,,,,,
April,,,,,,,,0.99,1.19,3.48,1.27,2.2,1.36,0.38,1.3,,,,,
May,,,,,,,,1.73,1.17,3.32,2.21,4.1,3.15,2.97,2.33,,,,,
June,,,,,,,,1.38,3.01,0.87,3.03,4.07,3.37,1.5,2.59,,,,,
July,,,,,,,,1.19,5.55,3.05,2.85,2.66,2.78,3.06,2.57,,,,,
August,,,,,,,,1.68,3.5,4.99,4.13,4.47,2.47,1.97,2.54,,,,,
September,,,,,,,,3.21,0.8,4.74,1.19,4.07,3.37,2.59,0.47,,,,,
October,,,,,,,,2.56,1.06,2.98,2.42,4.39,4.83,1.83,3.3,,,,,
November,,,,,,,,1.46,4.33,1.3,6.34,2.58,2.48,1.67,2.16,,,,,
December,,,,,,,,2.45,2.2,2.5,0.5,3.79,2.55,4.05,2.42,,,,,
Total,,,,,,,,22.02,28.9,33.24,29.93,36.1,32.15,25.37,26.21,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is based on the relationship to the church. Altitudes match. Gauge moved to the vicarage from Jan 1895, a move of about 300m SE",,,,,,,,,,,,,,,,,,,,
