FEDDERATE RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ865526,Long,-2.227301,Lat,57.563282,Elevation,410,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5659/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,3.04,4.7,1.92,4.34,4.61,3.78,3.25,3.72,1.34,3.84,3.78,3.25,1.96,3.95,3.11,2.01,1.43,1.68,4.01,2.68,4.84,3.71,3.02
February,,,,,,,,1.43,2.63,2.13,5.3,2.94,1.86,2.33,2.27,1.96,2.28,1.21,1.03,3.89,5.99,2,1.58,4.87,2.42,2.09,1.73,2.69,0.69,3.49
March,,,,,,,,0.76,3.13,2.2,0.9,1.61,1.32,1.93,0.89,2.04,3.36,0.54,2.51,4.06,2.87,3.07,0.45,2.33,1.71,1.28,2.54,3.36,1.65,1.76
April,,,,,,,1.06,0.63,1.92,2.48,3.03,0.75,1.85,2.43,1.68,1.25,1.66,1.31,1.77,2.56,3.49,2.21,2.43,1.09,1.26,1.42,1.61,1.31,2.04,1.84
May,,,,,,,1.54,2.99,1.12,1.45,2.72,2.22,5.08,3.28,2.8,2.47,2.45,2.83,2.14,2.09,0.98,2.3,1.68,5.15,3.94,0.52,1.15,3.02,1.03,1.2
June,,,,,,,1.99,3.29,1.88,2.48,1.02,1.45,1.34,3.17,3.29,1.82,2.23,6.02,1.66,2.95,2.37,2.74,2.91,4.44,1.08,1.84,2.73,2.34,1.33,1.81
July,,,,,,,2.8,3.8,4.55,6.61,4.81,3.97,1.55,3.33,3.53,4.91,2.11,3.19,2.59,4.88,4.17,2.44,4.37,2.29,0.37,5.3,4.81,4.64,3.15,2.5
August,,,,,,,2.55,2.04,1.4,3.07,5.47,1.95,4.73,1.53,3.89,2.03,0.05,5.19,5.95,2.35,4.84,3.53,2.26,3.1,0.78,4.04,4.61,3.37,1.53,6.31
September,,,,,,,1.74,2.38,3.1,4.33,1.35,2.66,3.81,4.21,3.42,3.42,3.55,2.38,2.08,7.36,1.28,5.59,2.96,3.77,2.23,2.2,3.46,2.89,1.2,2.83
October,,,,,,,3.37,3.93,5.06,3.18,5.13,5.58,2.99,4.26,4.02,0.51,2.18,4.96,2.59,2.54,1.56,2.67,1.77,5.65,7.25,3.43,2.34,2.01,5.26,6.12
November,,,,,,,2.44,2.63,4.72,8.74,7.25,2.19,5.84,4.04,1.68,7.84,4.25,1.56,4.78,5.8,7.51,3.78,1.83,5.36,1.82,1.95,2.41,1.71,6.44,5.1
December,,,,,,,4.31,3.64,2.53,2.98,1.77,3.72,0.98,3.75,5.09,3.13,2.88,4.23,2.27,2.66,2.17,3.43,2.7,4.43,6.47,4.99,4.19,3.43,4.57,2.44
Total,,,,,,,,30.56,36.74,41.57,43.09,33.65,35.13,37.51,36.28,32.72,30.84,37.2,32.62,43.1,41.18,36.87,26.95,43.91,31.01,33.07,34.26,35.61,32.6,38.42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 Est Snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 NP High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 NP High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 M est ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5659/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,14872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,832359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
