BELMONT BOLTON LE MOORS - Springs Reservoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD692142,Long,-2.467143,Lat,53.623423,Elevation,800,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,3,6.3,4.1,7,1.9,3.1,9.3,4,7.8,7.3,5.9,5.3,1.7,4.1,4.6,3.2,4,5.7,1.2,4.2,6.5,3.9,3.8,6.4,5.1,3,3.8,4.8,1.8,6.3,6.2,6.3,6.7,3.9,8.5,6.9,2.2,2.5,1.5,5.1,7.4,6.5,4.3,9.1,2.9,3.4,2.8,7.7,3.5,5.7,2.3,4.4,3.8,2.9,1.9,5.7,
February,,,,1.9,5.9,1.9,2.1,3.3,11.4,3.2,5.1,3.3,9,1.7,5.4,1.1,5.5,3.6,0.1,4.5,1.5,3.6,2.3,2.5,3.7,4.8,5.4,5,4.3,7.4,1.6,4.3,4.5,1.5,2.4,1.8,6.2,9.2,2.3,4.5,4.1,8.5,4,4.5,4.7,5.1,1.3,2.3,2.1,4.3,1.2,0.8,4,6.9,7.4,0.5,2.2,4.5,4.6,
March,,,,2.7,4.5,4,3.3,1.8,5.2,1.5,1.6,5.7,0.7,3,2.4,4.2,1.1,3.3,2.7,6.5,4.6,7.2,4.9,2.3,3.2,3.1,3.2,1.8,7,1.8,3.6,1.9,6.5,4.5,7.3,1.5,5.8,5.2,4.2,3.2,3,6,6.7,1.7,3.3,3.8,4.6,2.9,4.1,3.3,5.9,3.1,1.2,2.3,5.4,5.5,9.6,5.2,3.2,
April,,,,12,1.8,2.9,4.4,2.8,2.8,1.7,5.6,1.7,0.7,3.8,1.3,2.4,3.7,2.6,3.8,4.8,2.4,2.1,4.1,1.9,2.5,1.8,0.8,6.1,2.9,3.9,2.6,4.3,3.2,0.9,2.3,1.5,3.5,3.4,3.8,2.1,3.1,2.3,6.7,2.7,1.4,2.9,3.4,2.8,3.1,3.1,2.2,2.2,2.5,0.8,2.4,2.9,2.8,4,2.4,
May,,,,4.4,1.9,1.7,1.9,6.3,2.4,3.1,3,3,3.2,0.8,2.7,2,3.2,2.3,4,0.7,4.7,1.7,6.1,4.1,4,4,2.4,2.3,1.8,3.2,2.1,2.3,3.5,3.7,2.4,3.2,1.2,4.3,6.2,3.3,3.2,6.1,3.5,1.2,3.3,2.6,5.2,3.5,1.2,4.4,3.2,4.2,4.9,2.5,4.5,1.8,1,3.4,4.3,
June,,,,5,3.3,5.2,2.4,6.3,7,1.9,2.6,6.4,6.2,3.1,2.5,5.6,5.3,4.8,1.9,2.8,9.2,3.1,5.9,6.1,5.5,0.7,5.9,1.7,0.7,2.7,4.2,3.5,7.4,3,1.3,5.3,4.3,4,4,6.5,4.6,3.3,9.9,5.3,1.1,5.5,4.1,1.3,3.3,1,4.9,3.3,4.8,3.8,4.9,3.3,4.8,6.5,4.4,
July,,,,8,3.7,3.9,6.6,1.6,5.7,7.2,6.5,5,4.1,7.1,3.7,4.8,3.6,4.3,3.8,2.4,2.1,6.3,5.4,2.2,2.7,3.7,6.1,7.2,0.6,1.8,2.1,6.9,5.2,7.5,5.5,7.1,5,10.4,2.2,8.1,6.9,7.4,8.1,4.7,6.4,3,6.5,2,10.2,5.2,5.6,6.3,3.8,3.9,6.3,6.8,3.8,2.9,2.1,
August,,,,4.5,10,10.2,5,3.7,8.5,6.1,7.9,5.3,6.6,3.7,5.3,4.4,6.2,4.9,4.2,8.5,9.9,6.5,6,6.3,4.1,7.4,6.9,2.5,5.4,4.6,4.8,2.1,4.5,6.8,9.4,4.4,7.1,6.8,7.3,10,2.6,9.6,7.8,4.5,2.3,3.7,4,2.4,6.3,9.9,7.1,13.1,6.8,5.3,8.1,6.2,4.2,7.6,8.8,
September,,,,1,6.4,4.1,2.4,9.7,3.7,4.3,2.9,2,3.1,4.2,4.7,1.5,6,4.7,5.9,7.3,4,9.2,5.4,11.9,6.3,0.8,10.3,4.7,2.5,9.9,4.1,4.8,9.7,3.2,6,6.9,5.7,4.3,8.7,4.7,7.1,3.3,3.5,9.1,5.4,7.9,5.7,8.5,3.6,7.3,3.6,5,7.4,8.6,0.6,2.8,11.5,7,2.4,
October,,,,11.1,3.5,5,7.1,7.5,7.8,6.4,6,7.6,6,5.3,4.8,8.9,2.5,2.5,5,4.3,7.6,2.4,8.5,7.8,2.8,6.1,4,6.8,9.1,6.7,14.2,7.5,7.4,7.5,9,8,4.3,8.1,7.4,5.8,3.4,4.8,5.2,7.5,4.9,7.9,6.5,3.7,3.4,4.7,7,6.7,6.3,6.7,4.9,6.7,6.8,3.3,5,
November,,,,7.4,2.4,4,3.7,8.5,4.1,7.2,9,3.1,9.2,4.4,6.5,1.5,5.1,2.3,2.5,3.7,4,8.3,2.8,8.2,5.7,4.6,9.2,1.8,4.4,7.3,4.6,2,4.9,5.4,8.6,6.7,5.6,9.2,3.5,1.8,7.5,6.2,10.7,5.7,2.5,5.7,4.6,2.5,9.2,3.3,13.7,5.9,4.5,5.1,5.3,4.6,2.1,4.6,5.6,
December,,,,2.4,0.3,8,3.9,8,5,4.6,4.2,2.9,10.5,1,10.6,2.8,6.2,3.5,6.6,3.9,4.1,4.1,6.3,6.2,3.8,1.8,7.5,7.2,11.5,5.3,4.1,5,4.4,2.4,4.7,2.8,8.8,8.3,4.1,2.8,10.2,9.2,5.5,6.9,7.8,4.4,8.2,4.1,3.5,6.7,1,9.5,5.2,6.5,6.3,5.8,8.2,8.1,6.6,
Total,,,,63.4,50,55,49.8,61.4,66.7,56.5,58.4,53.8,66.6,44,55.2,40.9,52.5,43.4,43.7,53.4,59.8,55.7,61.9,66,48.2,42.6,68.1,52.2,53.2,58.4,52.8,46.4,67.5,52.6,65.2,55.9,61.4,81.7,60.6,55,58.2,68.2,76.7,61.2,49.6,56.8,63.2,38.9,53.4,56,63.1,63.6,57.1,54.7,60.5,50.7,59.9,59,55.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1840,1841 and 1842 totals all estimated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1859 Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
