PRESTBURY-SEWAGE-WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ897783,Long,-2.1560139,Lat,53.301548,Elevation,320,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2727/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,2.97,3.95,4.42,1.49,0.77,3.14,4.22,5.01,2.52,3.57,2.07,7.1,2.21,1.74,2.99,3.48,1.35,2.68,2.28,4.13,1.65,3.04,2.95,4.51
February,,,,,,,5.08,1.43,2.15,1.64,3.67,1.28,2.64,1.22,2.88,5.04,0.56,1.89,1.4,4.05,2.59,1.55,1.43,2.45,1.69,0.8,1.88,4.26,0.46,1.96
March,,,,,,,2.06,1,1.92,2.32,2.44,1.57,0.87,0.52,1.13,0.88,4.43,1.1,1.79,1.56,4.52,1.93,2.55,2.46,2.2,1.17,2.74,1.84,1.62,0.8
April,,,,,,,3.21,0.36,1.72,2.18,1.62,1.62,1.5,2.18,1.93,1.78,2.19,1.35,2.71,3.44,2.26,3.2,2.63,0.67,2.05,1.87,0.3,1.08,2.69,1.48
May,,,,,,,1.85,2.88,1.29,1.25,1.62,4.43,2.21,2.98,3.59,1.2,2.11,0.99,3.39,0.86,1.66,1.78,1.69,3.73,2.7,1.01,1.9,2.86,0.9,1.77
June,,,,,,,1.37,3.22,2.18,1.15,0.51,0.85,3.12,2.73,3.08,3.59,2,5.54,1.36,2.19,1.51,2.47,2.52,3.09,2.71,2.77,1.74,6.08,1.86,1.61
July,,,,,,,3.66,4.49,7.44,3.67,3.45,3.82,1.68,3.04,1.08,4.76,3.24,3.69,2.1,2.77,3.57,2.76,4.51,4.22,0.83,5.24,5.15,3.77,3.01,4.24
August,,,,,,,0.97,2.51,1.78,1.5,5.56,2.82,3.29,2.44,3.14,4.48,0.49,4.3,2.49,4.19,4.19,1.5,4.82,4.55,1.08,8.46,3.28,3.63,0.65,4.62
September,,,,,,,1.35,1.94,0.88,2.92,0.57,1.96,3.49,2.74,1.92,3.98,2.09,2.05,0.7,5.13,2.04,3.48,2.32,3.85,1.73,2.06,6.42,4.16,0.15,3.48
October,,,,,,,1.66,5.68,1.65,3.45,4.23,4.59,2.91,3.71,5.74,0.32,0.62,2.6,3.12,2.11,0.92,3.02,1.89,5.78,2.09,2.25,3.45,3.15,3.06,3.86
November,,,,,,3.17,1.38,4.25,5.15,6.37,3.09,0.61,2.53,5.5,0.43,4.75,3.13,2.27,4.06,4.8,7.55,2.17,2.73,5.44,1.64,1.32,1.47,1.29,3.88,5.04
December,,,,,,3.23,2.39,3.92,2.28,3.27,1.67,3.31,1.57,2.47,2.23,3.4,3.03,2.79,4.29,3.07,4.63,3.2,1.68,4.89,3.35,2.99,3.41,3.19,4.98,3.12
Total,,,,,,,27.95,35.63,32.86,31.21,29.2,30,30.03,34.54,29.67,37.75,25.96,35.67,29.62,35.91,38.43,30.54,30.12,43.81,24.35,34.07,33.39,38.35,26.21,36.49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 12145 PRESTBURY S WKS Start 1936 and still current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is a sewage works near Prestbury. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
