WATLINGTON PYRTON MANOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU685956,Long,-1.011202,Lat,51.655024,Elevation,321,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,3.38,2.17,0.86,0.85,2.1,1.54,0.93,1.91,1.78,3.21,0.96,2.16,0.73,2.64,2.91,1.03,0.77,2.81,3.02,0.86,3.63,0.87,1.49,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,0.48,0.86,1.9,1.87,0.89,0.02,1.19,3.87,1.73,0.19,0.38,2.56,1.52,2.23,4.92,1.2,1.08,1,3.72,0.59,1.81,1.23,0.96,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,1.63,1.99,1.7,3.2,2.24,1.77,1.78,1.1,0.26,1.53,1.52,3.17,3.99,1.41,0.48,0.84,1.65,1.49,3.57,1.49,3.4,1.5,1.27,3.63,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,2.12,1.64,1.09,2.4,2.47,1.43,0.92,0.96,0.03,1.56,1.37,0.64,1.39,1.66,2.49,0.89,1.98,1.24,2.31,1.15,1.99,0.64,3.47,4.26,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,2.37,3.95,1.46,1.04,3.14,1.18,2.46,0.96,1.42,1.69,0.45,0.33,1.3,2.26,2.02,1.14,1.41,2.16,2.94,3.12,0.86,2.66,2.3,1.46,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,1.88,1.3,1.29,2.06,2.5,2.26,1.48,2.15,0.68,2.67,0.3,3.39,2.38,1.43,1.71,2.15,1.41,3.02,6.23,1.07,3.43,2.62,2.38,1.18,4.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,0.35,2.7,0.84,5.59,2.72,3.56,2.86,2.42,2.85,3.17,3.25,1.19,0.91,0.78,0.82,1.58,4.46,0.82,2.86,2.75,1.91,0.46,2.41,2.38,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,0.84,1.28,1.06,1.28,3.36,2.93,5.16,3.64,1.51,2.52,3.32,3.4,4.13,0.84,2.65,2.99,2.09,3.19,3.89,2.45,2.69,1.26,1.69,2.71,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,3.86,2.2,2.41,0.88,1.41,0.82,1.57,3.24,0.94,2.58,1.48,6.72,2.61,0.68,1.81,0.37,1.82,0.77,1.57,1.88,1.67,1.17,0.56,2.18,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,3.65,3.24,1.76,1.02,3.66,1.53,7.72,3.5,3.08,3.66,3.22,2.91,1.22,4.04,2.33,2.42,1.82,1.85,7.32,1.26,1.9,5.16,5.34,1.18,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,3.7,2.88,2.48,4.42,0.84,2.25,2.68,1.77,2.53,5.24,3.68,1.09,0.92,3.57,2.82,2.16,0.65,2.41,1.96,1.66,3.33,3.38,2.33,1.24,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,1.1,5.19,1.41,1.7,1.38,0.51,3.61,1.43,2.4,2.16,2.58,4.33,3.18,2.53,1.49,3.33,3.67,1.42,2.03,2.4,1.07,2.19,3.61,2.35,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,30.23,18.53,26.35,26.44,21.23,31.8,23.29,21.48,30.29,24.57,28.51,26.75,21.45,23.49,25.7,23.19,20.22,38.49,25.97,23.7,26.48,27.46,25.02,27.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
