"EXETER (HATFIELD, LONGDOWN)",,,,,,,,,,,,
Grid ref,SX867914,Long,-3.606075,Lat,50.711158,,,,,,,
Station no,1769,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.37,3.06,0.40,2.17,5.71,3.65,3.01,3.54,,,,
February,5.19,0.54,1.32,3.05,2.93,0.23,5.90,-999.00,,,,
March,3.88,2.56,0.58,3.02,1.69,1.53,3.55,-999.00,,,,
April,1.80,2.87,2.82,0.05,0.80,0.95,0.13,-999.00,,,,
May,3.27,2.36,2.67,2.88,3.25,0.81,2.01,-999.00,,,,
June,0.87,0.84,1.90,3.99,2.90,1.44,1.48,-999.00,,,,
July,2.23,1.12,2.09,2.12,3.56,3.18,2.75,-999.00,,,,
August,2.89,5.27,1.70,2.35,0.98,3.15,2.57,-999.00,,,,
September,3.98,2.97,3.64,2.25,1.82,5.70,1.96,-999.00,,,,
October,1.26,4.95,3.54,2.14,1.63,2.18,1.89,-999.00,,,,
November,6.27,4.05,1.98,8.00,4.74,1.87,2.34,-999.00,,,,
December,2.85,3.32,0.80,3.34,4.75,5.50,2.85,-999.00,,,,
Total,37.86,33.91,23.44,35.36,34.76,30.19,30.44,-999.00,,,,
Calc annual,37.86,33.91,23.44,35.36,34.76,30.19,30.44,3.54,0.00,0.00,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-1002.54,NaN,NaN,,
