"BARKING OUTFALL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,MISFILED,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,,,,1.33,-999.00,1.32,0.48,,,2.08,,
February,,,,2.47,-999.00,0.20,0.28,,,1.65,,
March,,,,0.29,-999.00,1.15,2.68,,,0.47,,
April,,,,0.06,-999.00,1.07,0.43,,,2.29,,
May,,,,0.49,-999.00,0.26,0.26,,,1.21,,
June,,,,0.72,-999.00,0.22,2.40,,,1.38,,
July,,,,2.05,-999.00,3.21,1.53,,,1.45,,
August,,,,1.35,-999.00,1.63,2.22,,,0.93,,
September,,,,0.99,-999.00,0.86,4.93,,,2.09,,
October,,,,3.30,-999.00,2.78,2.71,,,2.13,,
November,,,,2.04,-999.00,2.60,1.01,,,3.43,,
December,,,,1.88,-999.00,2.02,2.63,,,1.07,,
Total,,,,16.97,-999.00,17.32,21.56,,,20.18,,
Calc annual,0.00,0.00,0.00,16.97,0.00,17.32,21.56,0.00,0.00,20.18,,
Difference,NaN,NaN,NaN,0.00,-999.00,0.00,-0.00,NaN,NaN,0.00,,
