WOOLWICH BARKING OUTFALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ452818,Long,0.091239,Lat,51.516468,Elevation,24,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,1.33,2.72,1.32,0.48,1.4,0.47,2.08,2.03,0.48,0.55,1.92,1.94,1.09,3.47,0.86,1.2,0.78,1.28,0.98,3.15,2.54,0.31,3.29,0.85,1.08,2.69,2.44,1.95,1.44,1.94,0.76,2.32,1.31,1.9,1.17,2.64,0.77,2.07,1.16,1.28,1.04,1.15,1.11,2.9,3,2.09,3.93,2.38,2.48,2.25,4.09,1.2,1.4,1.4,1.18,2.77,1.33,0.97,1.93,1.47,0.78,1.02,2.14,2.9,1.14,1.44,1.55,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,2.47,1.56,0.2,0.28,1.89,0.79,1.65,2.6,0.83,0.92,0.8,2.35,0.63,1.72,0.93,1.19,0.71,2.06,0.96,1.27,0.69,2.22,2.31,3.11,0.66,0.85,2.06,0.4,0.15,1.44,2.19,0.69,2.64,2.89,3.06,1.13,0.33,0.87,1.5,0.13,1.37,0.09,1.93,1.38,3.75,0.48,0.8,1.22,1.65,0.71,1.42,0.63,1.73,2.15,1.48,1.32,0.84,2.63,5.94,0.8,1.55,1.9,1.17,0.15,2.53,1.81,0.04,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,0.29,0.76,1.15,2.68,2.66,0.58,0.47,0.86,1.62,1.11,1.74,1.21,3.05,0.85,0.72,1.89,2.13,0.89,1.74,1.94,1.97,3.54,0.72,3.42,1.66,0.98,2.7,1.18,0.96,1,1.85,0.72,0.68,0.14,2.08,1.42,0.04,1.48,0.17,1.4,1.65,1.99,0.36,1.04,2.63,0.3,1.1,3.14,2.63,2,0.31,0.06,1,0.89,4.82,0.64,0.68,0.79,2.48,2.09,0.42,1.37,0.96,0.83,0.7,0.74,1.12,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,0.06,1.34,1.07,0.43,1.64,1,2.29,0.85,1.47,0.29,1.54,0.74,1.69,0.66,2.83,2.12,1.4,1.21,1.45,0,2.04,1.14,1.1,0.96,1.45,2.68,2.62,2.31,1.14,2.26,1.23,2.8,1.11,4.25,1.5,1.07,1.11,1.37,3.81,1.97,0.63,2,2.57,1.21,2.33,0.09,2.22,1.45,1.88,0.7,1.21,1.21,0.79,1.42,1.4,1.09,1.32,1.86,2.89,0.67,1.98,0.21,0.26,0.8,0.13,1.58,1.6,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,0.49,1.65,0.26,0.26,1.25,1.88,1.21,1.09,1.21,2.84,1.32,1.73,0.77,1.22,2.31,1.54,1.26,1.75,0.76,0.9,1.19,1.46,3.09,1.48,4,1.98,0.25,0.47,1.12,0.71,1.72,3.24,1.2,1.5,1.38,2.27,1.31,2.86,2.62,3.33,1.87,0.4,1.43,0.5,3.55,1.44,1.25,1.32,1.57,2.41,1.92,0.75,2.23,3.31,0.98,1.84,1.64,1.2,1.69,0.98,0.95,1.72,3.98,0.62,0.81,1.71,0.98,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,0.72,1.93,0.22,2.4,1.39,1.09,1.38,2.79,0.92,3,5.87,0.9,3.64,2.18,1.65,1.87,2.55,1.77,1.6,2.39,0.38,1.33,0.47,1.63,1.34,0.69,1.52,1.31,0.45,1.14,0.44,2.39,0.17,2.99,2.22,2.22,0.86,0.67,1.51,0.72,1.97,1.36,2.75,3.46,1.95,0.32,1.46,0.65,1.41,0.13,1.35,1.66,1.29,2,2.28,5.03,0.58,1.17,0.95,1.18,1.22,2.71,2.07,2.83,0.68,4.37,0.34,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,2.05,2.62,3.21,1.53,0.92,0.6,1.45,1.96,2.39,1.13,6.05,2.24,0.66,0.81,1.75,3.66,2.89,2.68,0.28,1.3,1.9,1.27,4.07,1.58,4.07,6.67,1.92,3.06,0.08,2.35,2.34,2.6,3.88,2.19,2.32,1.91,1.76,1.94,2.59,2.42,2.13,0.9,0.47,2.71,1.41,1.22,2.88,4.01,2.3,1.52,2,0.89,3.33,2.09,2.32,0.89,2.5,2.67,1.49,0.56,3.46,2.29,0.08,3.02,4.3,1.43,0.93,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,1.35,2.42,1.63,2.22,2.14,0.64,0.93,2.05,1.47,2.99,3.45,1.37,1.97,1.5,1.35,2.6,1.64,1.97,0.84,3.44,1.89,0.74,3.15,4.06,4.39,1,2.17,1.72,1.19,1.55,1.72,1.59,3.06,2.7,3.69,2.48,1.68,3.26,3.87,2.37,0.46,1.76,1.86,0.47,0.97,1.47,3.71,0.03,3.84,2.19,1.24,2.69,1.38,3.57,0.13,3.86,1.74,1.06,3.49,2.4,1.44,3.03,0.82,3.3,2.48,3.68,1.38,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,0.99,1.31,0.86,4.93,2.6,0.23,2.09,0.54,1.19,1.24,1.89,0.98,2.14,1.56,0.64,1.1,1.99,0.77,1.06,2.1,1.42,0.61,1.77,1.01,1.63,3.77,0.9,3.03,1.59,1.87,1.01,2.86,1.76,1.05,3.96,0.53,0.37,2.3,1.5,1.82,2.35,1.42,2.74,2.29,0.98,2.57,1.22,1.3,0.62,1.41,1.53,2.86,1.1,2.39,1.12,0.76,1.14,2.16,2.49,2.3,2.03,1.55,2.34,1.89,1.95,4.21,0.1,4.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,3.3,3.6,2.78,2.71,0.48,2.02,2.13,1.47,2.64,1.07,4.19,1.46,0.93,2.9,2.57,1.59,3.6,1.94,2.72,1.62,3.47,1.06,1.6,2.51,2.25,1.31,0.9,1,0.65,1.37,4.36,3.05,2.1,2.43,1.1,3.41,2.38,0.93,0.63,4.79,1.35,1.09,2.53,1.42,1.91,1.87,5.3,2.24,0.21,3.25,2.42,2.87,1.21,0.84,0.17,1.85,4.9,0.24,0.79,2.07,3.22,1.44,3.49,0.91,1.69,2.28,1.84,5.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
