CASTLEROCK (CRAIGHEAD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IC775359,Long,-6.784593,Lat,55.164395,Elevation,57,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,6248/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,3,1.4,6,4.17,3.61,4.33,3.91,4.2,5.52,3.77,4.59,2.69,6.24,1.51,,,,,,,
February,,,,,,,,,,2.78,3.09,2,3.3,1.56,4.07,3.4,0.77,2.51,3.17,3.03,3.12,1.89,1.34,,,,,,,
March,,,,,,,,,,4.27,2.69,2.93,1.12,1.3,1.39,0.86,4.47,3.02,2.04,2.12,2.62,1.79,0.91,,,,,,,
April,,,,,,,,,,4.63,1.39,1.42,2.38,2.17,1.43,1.05,4.21,2.05,3.12,4.32,2.58,1.36,2.29,,,,,,,
May,,,,,,,,,,1.24,1.6,3.66,3.44,2.31,4.29,0.67,3.8,1.49,1.82,1.54,1.33,1.53,1.89,,,,,,,
June,,,,,,,,,,1.84,0.41,0.75,2.87,2.67,3.23,2.76,5.11,3.57,1.44,2.81,2.61,3.02,1.94,,,,,,,
July,,,,,,,,,,4.54,2.83,3.55,2.13,4.2,5.31,4.8,4.62,2.63,2.1,5.16,3.24,2.29,5.18,,,,,,,
August,,,,,,,,,,1.36,3.64,5.45,5.32,2.32,1.25,4.15,0.13,3.76,1.96,4.9,3.49,4.76,,,,,,,,
September,,,,,,,,,2.3,3.19,0.72,4.82,3.02,4.7,3.05,5.23,2.83,4.56,1.94,7.28,2.36,2.78,,,,,,,,
October,,,,,,,,,2.11,3.91,4.35,3.94,3.6,5.38,4.31,0.79,1.91,3.8,4.55,4.05,1.49,4.01,,,,,,,,
November,,,,,,,,,4.95,5.08,4.03,1.48,3.12,5.68,0.66,2.87,6.03,2.94,3.37,3.26,4.92,2.9,,,,,,,,
December,,,,,,,,,3.22,5.27,2.34,5.51,3.07,4.45,3.16,4.2,2.23,6.71,5.88,4.52,6.05,5.39,,,,,,,,
Total,,,,,,,,,,41.11,28.49,41.51,37.54,40.35,36.48,34.69,40.31,42.56,35.16,47.58,36.5,37.96,,,,,,,,
