"HORNINGHOLD HOUSE UPPINGHAM",,,,,,,,,,,,
Grid ref,SP807973,Long,-0.810810,Lat,52.567551,,,,,,,
Station no,RR4160,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,1.10,0.99,1.94,2.47,0.82,3.47,0.95,0.94,0.84,,
February,,1.14,1.44,1.14,2.93,0.54,1.60,0.80,1.90,0.40,,
March,,2.13,1.22,2.65,1.56,2.43,1.30,1.12,2.50,2.62,,
April,,1.75,1.45,1.72,1.19,1.87,0.76,2.73,2.56,1.36,,
May,,1.19,1.97,2.33,1.80,0.56,1.64,4.24,1.41,1.24,,
June,,2.88,2.22,2.10,0.56,2.64,3.68,2.25,0.83,2.76,,
July,,2.91,0.97,2.37,2.04,2.50,0.50,2.52,2.41,3.78,,
August,,1.42,2.97,4.38,2.75,2.99,1.04,3.32,2.50,2.25,,
September,,1.27,1.76,3.00,1.97,2.50,1.12,0.94,1.70,2.20,,
October,1.64,1.44,1.79,6.14,0.60,0.75,4.24,4.69,1.52,3.35,,
November,2.60,0.93,1.67,1.72,1.02,2.63,4.04,1.96,0.77,0.64,,
December,4.46,4.12,0.98,1.12,1.60,0.72,2.69,2.78,1.36,3.82,,
Total,,22.28,19.43,30.61,20.49,20.95,26.08,28.30,20.40,25.26,,
Calc annual,8.70,22.28,19.43,30.61,20.49,20.95,26.08,28.30,20.40,25.26,,
Difference,NaN,0.00,-0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,,
