HALLATON-HORNINGHOLD-HOUSE (6inch Gauge),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP807973,Long,-0.81081,Lat,52.567551,Elevation,380,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,3.5,,0.7,1.7,2.2,0.8,3.4,0.6,0.8,0.8,1.9,0.8,2.6,3,0.9,1.7,1.2,2,2,2.3,2.3,2.4,,,,,,,,,
February,3.8,,1.4,1.1,2.6,0.5,1.4,0.7,1.5,0.3,1.8,1.1,1,0.7,1.1,2,3.7,0.5,1.2,,0.8,0.4,,,,,,,,,
March,0.8,,1,2.3,1.3,2.02,1,0.9,2.4,2.3,0.8,1.7,2.1,2.9,2.2,0.9,3.9,1,1,,2.2,0.9,,,,,,,,,
April,0.8,,1.4,1.6,1,1.7,0.6,2.5,2.2,1.4,1.2,0.9,0,2.3,0.8,0.7,0.8,1.3,2,,4.8,1.2,,,,,,,,,
May,1,,1.8,2.2,1.7,0.4,1.4,4.1,1.3,1.2,2.2,2,2.3,1.1,1.1,1.6,1.8,1.9,1.4,,1.7,1.9,,,,,,,,,
June,2,2.5,2.1,1.7,0.5,2.4,3.4,,0.8,2.8,1,1.8,2.8,0.4,2.7,1.4,1.5,1.6,0.3,,1.5,0.5,,,,,,,,,
July,2.2,,0.8,2.2,1.9,2.1,0.4,,2.2,3.5,2,0.2,4.5,0.7,1.7,4.4,1.7,1,2.2,,3.2,0.2,,,,,,,,,
August,4.1,1.2,2.5,4.3,2.8,2.7,0.9,,2,2,3.1,1.5,6.7,0.5,1.7,2.1,2.5,5.3,1.7,,1.1,2.4,,,,,,,,,
September,0.6,1.1,1.4,3,1.7,2.3,1,,1.1,2.2,0.8,1.2,0.8,1.7,0.5,1.2,0.8,1.2,4,,2,0.7,,,,,,,,,
October,1.5,1.2,1.6,5.8,0.6,1.2,4.2,,1.4,3.1,1.7,1.9,2.5,3.2,2,1.3,1.7,3.2,1.2,,1.2,2.5,,,,,,,,,
November,2.5,,1.6,1.5,1,2.5,3.4,,0.8,0.5,3.1,2.4,1.2,2.8,2.2,2.1,2.7,0.7,1.9,,1,1.6,,,,,,,,,
December,3.8,4,0.9,1,1.5,0.7,2.2,,1.3,3.7,4.9,3.7,3,0.5,4,3.6,2.4,0.8,2.1,,1.9,1.5,,,,,,,,,
Total,26.6,,17.2,28.4,18.8,19.32,23.3,,17.8,23.8,24.5,19.2,29.5,19.8,20.9,23,24.7,20.5,21,,23.7,16.2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snow estimates kept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
