TOTNES-BERRY-POMEROY-(VICARAGE-LATER),,,,,,,,,,,,,,,,,,,,
Grid ref,SX828609,Long,-3.6512,Lat,50.4364,Elevation,143,ft,,,,,,,,,,,,
Station no,1695/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,7.56,7.81,6.02,7.55,2.85,5.79,5.28,10.31,,,,,,,
February,,,,,,5.11,7.78,1.58,2.8,6.02,5.66,0.28,2.3,,,,,,,
March,,,,,,4.63,7.34,0.14,1.57,3.68,4.17,3.69,1.51,,,,,,,
April,,,,,,3.13,3.79,0.13,2.75,4.25,1.35,2.8,1.75,,,,,,,
May,,,,,,1.07,3.01,2.79,0.54,1.41,2.73,6.71,4.13,,,,,,,
June,,,,,,1.11,1.61,1.32,4.12,0.7,3.04,0.54,1.18,,,,,,,
July,,,,,,5.16,1.15,3.9,8.67,3.01,1.02,1.91,3.42,,,,,,,
August,,,,,,0.28,1.82,8.57,2.68,0.06,4.48,4.57,3.38,,,,,,,
September,,,,,,3.29,2.12,1.62,0.79,1.75,0.88,2.76,4.56,,,,,,,
October,,,,,,1.18,3.89,5.66,6.29,6.36,2.04,5.24,4.27,,,,,,,
November,,,,,,4.13,3.43,9.98,10.51,10.51,3.38,1.51,2.34,,,,,,,
December,,,,,,5.19,4.68,4.64,2.46,4.66,4.93,5.48,3.82,,,,,,,
Total,,,,,,41.84,48.43,46.35,50.73,45.26,39.47,40.77,42.97,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1936 Not printed – low,,,,,,,,,,,,,,,,,,,,
1940 Jan 18th estimated for snow,,,,,,,,,,,,,,,,,,,,
1944 Observer moved to Aylesbeare,,,,,,,,,,,,,,,,,,,,
