"HAWKSHEAD NEAR SAWREY TOWER BANK",,,,,,,,,,,,
Grid ref,SD369961,Long,-2.972437,Lat,54.356506,,,,,,,
Station no,3028,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,5.34,5.53,8.28,8.39,4.26,9.99,3.54,9.59,5.40,,
February,,2.19,2.97,7.68,6.09,4.38,5.39,4.84,3.92,5.75,,
March,,4.76,4.73,8.04,5.95,5.87,4.30,7.27,5.55,5.62,,
April,,4.48,3.54,2.31,5.96,6.48,2.03,3.20,3.04,4.73,,
May,,2.10,3.66,4.62,3.38,2.77,7.74,6.67,5.23,3.62,,
June,5.64,3.34,1.70,3.36,2.55,3.62,2.71,10.78,3.86,2.78,,
July,2.18,1.41,4.29,6.03,2.91,2.47,4.07,4.12,5.19,7.19,,
August,6.82,6.59,5.15,10.73,5.02,5.65,5.61,7.30,7.11,3.89,,
September,4.66,4.38,2.60,7.89,4.48,4.20,2.62,1.20,8.11,4.00,,
October,10.30,6.81,5.65,13.09,4.19,4.12,8.19,8.77,3.91,10.68,,
November,7.25,9.18,5.88,4.56,6.39,8.58,6.53,6.83,5.72,4.09,,
December,13.21,9.15,8.55,5.80,7.31,5.24,5.61,10.15,6.44,12.46,,
Total,,59.73,54.25,82.39,62.62,57.64,64.79,74.67,67.70,70.21,,
Calc annual,50.06,59.73,54.25,82.39,62.62,57.64,64.79,74.67,67.67,70.21,,
Difference,NaN,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.03,-0.00,,
