FINDON,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ121086,Long,-0.40839912,Lat,50.866048,Elevation,150,ft,,,,,,,,,,,,
Station no,RR7766,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,1.41,5.28,,,,,,,6.64,,,,,,,
February,,,,,2.78,2.79,,,,,,,3.09,,,,,,,
March,,,,,4.2,1.45,,,,,,,2.63,,,,,,,
April,,,,,1.31,0.34,,,,,,,0.92,,,,,,,
May,,,,,1.32,3.33,,,,,,,3.62,,,,,,,
June,,,,,1.32,1.4,,,,,,,2.7,,,,,,,
July,,,,,0.65,2.78,,,,,,,2.64,,,,,,,
August,,,,,1.79,5.24,,,,,,,2.35,,,,,,,
September,,,,,4.22,0.14,,,,,,,2.34,,,,,,,
October,,,,,1.6,10.51,,,,,,,6.45,,,,,,,
November,,,,,4.58,3.33,,,,,,,6.24,,,,,,,
December,,,,,1.1,3.24,,,,,,,5.35,,,,,,,
Total,,,,,26.28,39.83,,,,,,,44.97,,,,,,,
