"RICHMOND (GREEN HOWARD ROAD)",,,,,,,,,,,,
Grid ref,NZ172016,Long,-1.736510,Lat,54.409567,,,,,,,
Station no,RR4033,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,-999.00,1.18,2.70,2.72,4.09,2.68,2.40,3.09,5.11,,
February,,,4.34,2.90,1.87,2.43,2.70,4.45,0.20,2.72,,
March,,,0.31,1.84,2.04,1.67,1.25,2.41,1.32,2.77,,
April,,,2.36,0.24,0.49,0.82,0.23,1.11,2.92,1.63,,
May,,,2.36,3.53,2.75,0.67,1.89,3.48,0.52,1.45,,
June,,,2.65,1.79,2.86,2.76,2.02,4.16,2.29,0.62,,
July,,,3.46,1.48,1.06,5.07,3.82,3.03,1.76,4.92,,
August,,,2.78,5.56,0.67,7.64,6.13,3.72,0.84,2.84,,
September,,,2.44,2.77,0.74,4.44,4.03,3.26,0.49,3.07,,
October,,-999.00,2.40,5.04,1.96,1.52,2.61,2.06,1.96,7.44,,
November,,2.10,1.95,6.09,2.20,0.72,1.90,0.52,5.58,4.82,,
December,,2.04,1.40,2.43,4.23,3.56,2.17,4.19,5.56,3.33,,
Total,,,27.63,36.37,23.59,35.39,31.43,34.79,26.53,40.72,,
Calc annual,0.00,4.14,27.63,36.37,23.59,35.39,31.43,34.79,26.53,40.72,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
